Time	EEG_Fp1	EEG_Fp2	PPG
오후 5:19:35.282 	0.000019	0.000014	0.000916
오후 5:19:35.282 	0.000000	-0.000017	0.000916
오후 5:19:35.283 	-0.000021	-0.000034	0.000916
오후 5:19:35.283 	0.000021	0.000030	0.000916
오후 5:19:35.285 	0.000024	0.000044	0.000916
오후 5:19:35.285 	0.000005	0.000018	0.000916
오후 5:19:35.286 	-0.000015	-0.000015	0.000916
오후 5:19:35.286 	0.000021	0.000014	0.000916
오후 5:19:35.288 	0.000025	0.000034	0.000915
오후 5:19:35.288 	-0.000013	0.000014	0.000915
오후 5:19:35.289 	0.000003	-0.000008	0.000915
오후 5:19:35.289 	0.000042	0.000027	0.000915
오후 5:19:35.290 	0.000043	0.000051	0.000915
오후 5:19:35.290 	0.000026	0.000033	0.000915
오후 5:19:35.312 	-0.000027	-0.000023	0.000915
오후 5:19:35.312 	-0.000026	-0.000026	0.000915
오후 5:19:35.320 	0.000037	0.000038	0.000914
오후 5:19:35.320 	0.000035	0.000033	0.000914
오후 5:19:35.322 	0.000011	0.000004	0.000914
오후 5:19:35.322 	0.000008	-0.000010	0.000914
오후 5:19:35.323 	0.000037	0.000031	0.000914
오후 5:19:35.323 	0.000027	0.000024	0.000914
오후 5:19:35.334 	0.000020	0.000025	0.000914
오후 5:19:35.334 	-0.000017	-0.000010	0.000914
오후 5:19:35.339 	0.000017	0.000016	0.000914
오후 5:19:35.339 	0.000003	0.000015	0.000914
오후 5:19:35.345 	-0.000013	0.000013	0.000914
오후 5:19:35.345 	-0.000046	-0.000023	0.000914
오후 5:19:35.359 	-0.000029	-0.000008	0.000914
오후 5:19:35.359 	0.000003	0.000019	0.000914
오후 5:19:35.361 	0.000018	0.000017	0.000913
오후 5:19:35.361 	0.000017	0.000014	0.000913
오후 5:19:35.370 	0.000036	0.000028	0.000913
오후 5:19:35.370 	0.000043	0.000045	0.000913
오후 5:19:35.382 	0.000030	0.000035	0.000913
오후 5:19:35.382 	0.000023	0.000019	0.000913
오후 5:19:35.387 	0.000008	0.000000	0.000913
오후 5:19:35.387 	0.000051	0.000039	0.000913
오후 5:19:35.400 	0.000033	0.000034	0.000913
오후 5:19:35.400 	0.000008	0.000013	0.000913
오후 5:19:35.438 	-0.000013	-0.000012	0.000913
오후 5:19:35.438 	0.000038	0.000032	0.000913
오후 5:19:35.439 	0.000033	0.000030	0.000913
오후 5:19:35.439 	0.000023	0.000036	0.000913
오후 5:19:35.441 	-0.000005	0.000006	0.000913
오후 5:19:35.441 	0.000017	0.000027	0.000913
오후 5:19:35.443 	0.000051	0.000041	0.000913
오후 5:19:35.443 	0.000043	0.000036	0.000913
오후 5:19:35.444 	0.000006	0.000011	0.000913
오후 5:19:35.444 	0.000014	0.000016	0.000913
오후 5:19:35.446 	0.000036	0.000034	0.000913
오후 5:19:35.446 	0.000034	0.000033	0.000913
오후 5:19:35.457 	0.000012	0.000009	0.000913
오후 5:19:35.457 	-0.000000	-0.000004	0.000913
오후 5:19:35.460 	0.000030	0.000009	0.000913
오후 5:19:35.460 	0.000025	0.000037	0.000913
오후 5:19:35.466 	0.000024	0.000045	0.000914
오후 5:19:35.466 	-0.000030	0.000011	0.000914
오후 5:19:35.479 	0.000032	0.000038	0.000914
오후 5:19:35.479 	0.000051	0.000042	0.000914
오후 5:19:35.526 	0.000034	0.000040	0.000915
오후 5:19:35.526 	0.000005	0.000009	0.000915
오후 5:19:35.531 	0.000039	0.000045	0.000916
오후 5:19:35.531 	0.000047	0.000056	0.000916
오후 5:19:35.533 	0.000047	0.000052	0.000916
오후 5:19:35.533 	0.000030	0.000030	0.000917
오후 5:19:35.534 	0.000040	0.000026	0.000918
오후 5:19:35.534 	0.000084	0.000063	0.000919
오후 5:19:35.535 	0.000066	0.000063	0.000920
오후 5:19:35.535 	0.000060	0.000069	0.000921
오후 5:19:35.547 	0.000037	0.000046	0.000922
오후 5:19:35.547 	0.000068	0.000072	0.000923
오후 5:19:35.548 	0.000095	0.000084	0.000924
오후 5:19:35.548 	0.000100	0.000109	0.000926
오후 5:19:35.550 	0.000094	0.000092	0.000927
오후 5:19:35.550 	0.000151	0.000133	0.000928
오후 5:19:35.551 	0.000167	0.000144	0.000929
오후 5:19:35.551 	0.000186	0.000162	0.000931
오후 5:19:35.552 	0.000180	0.000148	0.000932
오후 5:19:35.552 	0.000234	0.000180	0.000933
오후 5:19:35.553 	0.000245	0.000203	0.000934
오후 5:19:35.553 	0.000245	0.000213	0.000935
오후 5:19:35.578 	0.000224	0.000181	0.000936
오후 5:19:35.578 	0.000245	0.000186	0.000937
오후 5:19:35.580 	0.000266	0.000202	0.000937
오후 5:19:35.580 	0.000249	0.000190	0.000938
오후 5:19:35.582 	0.000248	0.000183	0.000939
오후 5:19:35.582 	0.000217	0.000148	0.000939
오후 5:19:35.586 	0.000271	0.000190	0.000939
오후 5:19:35.586 	0.000253	0.000164	0.000940
오후 5:19:35.609 	0.000238	0.000148	0.000940
오후 5:19:35.609 	0.000199	0.000112	0.000940
오후 5:19:35.612 	0.000224	0.000141	0.000940
오후 5:19:35.612 	0.000199	0.000117	0.000940
오후 5:19:35.613 	0.000199	0.000109	0.000940
오후 5:19:35.613 	0.000156	0.000058	0.000940
오후 5:19:35.620 	0.000181	0.000084	0.000940
오후 5:19:35.620 	0.000186	0.000092	0.000940
오후 5:19:35.633 	0.000157	0.000064	0.000940
오후 5:19:35.633 	0.000122	0.000036	0.000939
오후 5:19:35.649 	0.000125	0.000027	0.000939
오후 5:19:35.649 	0.000155	0.000057	0.000939
오후 5:19:35.675 	0.000135	0.000030	0.000939
오후 5:19:35.675 	0.000108	0.000006	0.000938
오후 5:19:35.680 	0.000091	-0.000014	0.000938
오후 5:19:35.680 	0.000127	0.000021	0.000938
오후 5:19:35.690 	0.000114	0.000007	0.000937
오후 5:19:35.690 	0.000067	-0.000024	0.000937
오후 5:19:35.700 	0.000052	-0.000039	0.000937
오후 5:19:35.700 	0.000084	-0.000022	0.000937
오후 5:19:35.719 	0.000084	-0.000019	0.000936
오후 5:19:35.719 	0.000057	-0.000046	0.000936
오후 5:19:35.720 	0.000022	-0.000097	0.000936
오후 5:19:35.720 	0.000059	-0.000050	0.000935
오후 5:19:35.722 	0.000047	-0.000035	0.000935
오후 5:19:35.722 	0.000012	-0.000045	0.000934
오후 5:19:35.728 	-0.000013	-0.000082	0.000934
오후 5:19:35.728 	0.000008	-0.000089	0.000934
오후 5:19:35.741 	0.000046	-0.000072	0.000933
오후 5:19:35.741 	0.000016	-0.000081	0.000933
오후 5:19:35.743 	0.000012	-0.000078	0.000933
오후 5:19:35.743 	-0.000010	-0.000094	0.000933
오후 5:19:35.745 	0.000040	-0.000047	0.000933
오후 5:19:35.745 	0.000020	-0.000064	0.000932
오후 5:19:35.777 	-0.000007	-0.000083	0.000932
오후 5:19:35.777 	-0.000062	-0.000118	0.000932
오후 5:19:35.778 	-0.000017	-0.000092	0.000932
오후 5:19:35.778 	-0.000001	-0.000090	0.000931
오후 5:19:35.780 	-0.000009	-0.000100	0.000931
오후 5:19:35.780 	-0.000046	-0.000121	0.000931
오후 5:19:35.781 	-0.000050	-0.000106	0.000931
오후 5:19:35.781 	-0.000038	-0.000086	0.000931
오후 5:19:35.789 	-0.000004	-0.000077	0.000931
오후 5:19:35.789 	-0.000025	-0.000106	0.000931
오후 5:19:35.821 	-0.000029	-0.000089	0.000931
오후 5:19:35.821 	-0.000023	-0.000076	0.000931
오후 5:19:35.823 	-0.000028	-0.000069	0.000931
오후 5:19:35.823 	-0.000022	-0.000063	0.000931
오후 5:19:35.825 	-0.000034	-0.000071	0.000931
오후 5:19:35.825 	-0.000021	-0.000073	0.000931
오후 5:19:35.866 	-0.000024	-0.000086	0.000931
오후 5:19:35.866 	-0.000030	-0.000077	0.000931
오후 5:19:35.875 	-0.000078	-0.000099	0.000931
오후 5:19:35.875 	-0.000034	-0.000059	0.000931
오후 5:19:35.882 	-0.000058	-0.000083	0.000931
오후 5:19:35.882 	-0.000042	-0.000077	0.000930
오후 5:19:35.916 	-0.000042	-0.000077	0.000930
오후 5:19:35.916 	-0.000040	-0.000060	0.000930
오후 5:19:35.918 	-0.000030	-0.000052	0.000930
오후 5:19:35.918 	-0.000022	-0.000066	0.000930
오후 5:19:35.919 	-0.000067	-0.000092	0.000930
오후 5:19:35.919 	-0.000069	-0.000083	0.000930
오후 5:19:35.920 	-0.000025	-0.000044	0.000930
오후 5:19:35.920 	-0.000013	-0.000029	0.000930
오후 5:19:35.921 	-0.000022	-0.000038	0.000930
