Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 5:19:35.484 	40.445628	38.410462	5.499616	5.904284	5.931433	40.362623	38.161411	5.738581	6.080541	6.166663	77.519092	50.420207	36.895629	16.422897	43.497967	40.079136
오후 5:19:36.589 	40.577670	38.545039	5.363029	5.878579	5.907933	40.623593	38.176518	5.547516	6.040628	6.160182	77.534538	50.355099	36.092848	17.186508	43.563398	39.250094
오후 5:19:37.571 	40.601395	38.509062	5.419673	5.878401	5.918044	40.631077	38.163175	5.620036	6.032438	6.147223	77.395744	49.989585	35.996894	17.665820	42.992667	39.341513
오후 5:19:38.752 	41.245347	37.995811	5.365908	5.846939	5.930624	41.224190	37.589637	5.599446	6.045196	6.123109	77.395744	49.989585	36.090030	15.190276	42.508663	42.301062
오후 5:19:39.529 	41.307231	37.267853	5.535341	6.087791	6.137174	41.004937	37.013397	5.776301	6.312766	6.366585	77.390613	50.001927	35.753037	12.048977	48.163377	39.787646
오후 5:19:40.571 	41.148632	36.879217	5.709013	6.184400	6.250669	41.062591	36.437595	5.863205	6.449848	6.477231	77.462508	50.092752	35.421453	9.824919	52.867691	37.307390
오후 5:19:41.677 	41.225664	37.079011	5.700721	6.044445	6.127995	41.178976	36.674371	5.849494	6.312141	6.347763	77.508798	49.863045	35.741654	9.552731	53.117927	37.329342
오후 5:19:42.677 	41.343453	36.773286	5.835197	6.113806	6.178049	40.862026	36.869656	5.961865	6.381463	6.304554	77.436816	50.189679	35.982761	9.303982	52.332660	38.363359
오후 5:19:43.678 	40.475520	37.081556	5.927464	6.317726	6.402314	40.230627	37.001188	6.108102	6.531088	6.485842	77.390613	50.520056	35.940331	9.442146	52.203413	38.354441
오후 5:19:44.756 	41.255543	36.001458	6.182586	6.423268	6.240718	40.661765	36.210822	6.320380	6.711805	6.345458	77.305060	51.402664	36.202296	10.124727	49.059330	40.815943
오후 5:19:45.743 	39.864666	36.969756	5.861900	6.718369	6.734828	38.668230	37.251271	6.130793	7.154408	7.062254	77.323972	51.264543	36.710438	9.864951	48.475064	41.659985
오후 5:19:46.710 	40.321995	36.592688	5.733490	6.715982	6.810189	39.364671	36.628876	5.920366	7.241029	7.137167	77.242109	51.343854	37.586705	9.276072	47.443935	43.279993
오후 5:19:47.668 	40.931985	36.145755	5.715056	6.703656	6.815183	40.051221	36.104769	5.847202	7.239829	7.117097	77.015644	51.571937	37.612992	9.284092	47.519003	43.196904
오후 5:19:48.658 	40.364499	35.827309	5.902348	6.920018	7.041745	39.540158	35.709560	6.059482	7.429502	7.337109	76.759062	51.014494	37.678721	9.382753	48.358857	42.258390
오후 5:19:49.663 	40.931344	35.416248	5.835688	6.866228	7.036862	40.294901	34.982194	5.966272	7.463726	7.383695	76.361438	50.023081	37.825557	9.691161	50.551594	39.757245
오후 5:19:50.638 	41.719895	35.201942	5.732831	6.722459	6.856153	41.171756	34.519371	5.887603	7.279974	7.131441	76.009501	50.739653	37.757990	9.418460	51.139550	39.441990
