Time	EEG_Fp1	EEG_Fp2	PPG
오후 3:50:05.403 	0.000052	0.000063	0.000910
오후 3:50:05.403 	0.000021	0.000034	0.000910
오후 3:50:05.405 	0.000025	0.000021	0.000910
오후 3:50:05.405 	0.000030	0.000032	0.000910
오후 3:50:05.407 	0.000038	0.000039	0.000910
오후 3:50:05.407 	0.000028	0.000015	0.000910
오후 3:50:05.422 	0.000000	0.000004	0.000910
오후 3:50:05.422 	0.000040	0.000046	0.000910
오후 3:50:05.423 	0.000047	0.000044	0.000911
오후 3:50:05.423 	0.000040	0.000034	0.000912
오후 3:50:05.430 	0.000013	-0.000002	0.000912
오후 3:50:05.430 	0.000022	0.000027	0.000914
오후 3:50:05.444 	0.000038	0.000058	0.000915
오후 3:50:05.444 	0.000041	0.000048	0.000917
오후 3:50:05.447 	0.000004	0.000008	0.000919
오후 3:50:05.447 	0.000012	0.000025	0.000922
오후 3:50:05.465 	0.000032	0.000038	0.000924
오후 3:50:05.465 	0.000030	0.000038	0.000928
오후 3:50:05.467 	0.000038	0.000039	0.000931
오후 3:50:05.467 	0.000022	0.000012	0.000935
오후 3:50:05.475 	0.000041	0.000027	0.000938
오후 3:50:05.475 	0.000035	0.000026	0.000942
오후 3:50:05.487 	0.000023	0.000037	0.000946
오후 3:50:05.487 	0.000000	0.000021	0.000950
오후 3:50:05.492 	0.000029	0.000040	0.000954
오후 3:50:05.492 	0.000039	0.000043	0.000958
오후 3:50:05.498 	0.000020	0.000021	0.000962
오후 3:50:05.498 	-0.000005	0.000003	0.000965
오후 3:50:05.518 	0.000018	0.000030	0.000968
오후 3:50:05.518 	0.000021	0.000043	0.000971
오후 3:50:05.520 	0.000015	0.000015	0.000974
오후 3:50:05.520 	-0.000004	0.000007	0.000976
오후 3:50:05.523 	0.000010	0.000019	0.000978
오후 3:50:05.523 	0.000045	0.000046	0.000979
오후 3:50:05.524 	0.000035	0.000037	0.000981
오후 3:50:05.524 	0.000013	0.000011	0.000982
오후 3:50:05.546 	0.000002	-0.000004	0.000982
오후 3:50:05.546 	0.000036	0.000038	0.000983
오후 3:50:05.547 	0.000026	0.000033	0.000983
오후 3:50:05.547 	0.000017	0.000020	0.000982
오후 3:50:05.550 	-0.000003	0.000011	0.000982
오후 3:50:05.550 	0.000025	0.000051	0.000981
오후 3:50:05.552 	0.000058	0.000062	0.000980
오후 3:50:05.552 	0.000025	0.000030	0.000979
오후 3:50:05.569 	-0.000007	0.000004	0.000978
오후 3:50:05.569 	0.000014	0.000017	0.000976
오후 3:50:05.570 	0.000039	0.000046	0.000975
오후 3:50:05.570 	0.000017	0.000032	0.000974
오후 3:50:05.572 	-0.000006	-0.000001	0.000972
오후 3:50:05.572 	-0.000011	-0.000005	0.000971
오후 3:50:05.580 	0.000006	0.000018	0.000970
오후 3:50:05.580 	0.000002	0.000023	0.000968
오후 3:50:05.591 	-0.000004	0.000001	0.000966
