Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 3:50:05.987 	45.079359	39.013033	5.290322	3.610934	3.439964	46.498174	36.689759	5.398408	3.831328	3.467352	82.145139	144.367581	169.813228	7.870360	56.759181	35.370460
오후 3:50:07.009 	44.242020	39.432316	5.550828	3.787812	3.529570	45.717608	37.079094	5.658633	4.038234	3.546709	82.248996	144.680241	169.722715	7.966289	57.206980	34.826731
오후 3:50:07.940 	45.011586	39.126871	5.345670	3.682194	3.568211	46.465489	36.894215	5.469771	3.891714	3.594616	82.499433	145.964942	167.779170	7.727813	56.852081	35.420106
오후 3:50:09.020 	44.387843	40.096077	5.314216	3.592148	3.408184	45.792238	38.011150	5.411470	3.787171	3.394448	81.886169	144.272606	170.156153	7.794775	56.348449	35.856776
오후 3:50:09.946 	44.440844	39.955947	5.483852	3.585758	3.342761	45.766703	37.849034	5.620590	3.769882	3.369198	81.677651	142.264573	172.365751	7.851931	55.419217	36.728852
오후 3:50:11.005 	44.035260	40.194612	5.521546	3.645293	3.368417	45.458835	38.002902	5.602621	3.784676	3.418970	81.269841	140.661674	175.732950	8.093189	55.033052	36.873759
오후 3:50:12.391 	43.451476	40.787590	5.567750	3.600647	3.227079	44.988291	38.516632	5.739081	3.730636	3.231619	80.353669	134.444814	178.049600	8.862332	54.350919	36.786749
오후 3:50:13.480 	43.882814	40.579028	5.534828	3.544156	3.183289	45.412637	38.295050	5.732571	3.662018	3.181613	79.976533	131.655092	174.150421	9.358308	53.245838	37.395854
오후 3:50:14.053 	42.701805	40.731964	6.078661	3.737310	3.232990	44.097703	38.576114	6.277727	3.879797	3.234633	80.531679	135.549782	177.907527	9.706905	53.379128	36.913967
오후 3:50:15.027 	47.050758	38.413922	5.320364	3.302230	2.940708	48.328714	36.393927	5.493874	3.436523	2.972271	80.738905	135.847274	179.864019	10.837602	52.859507	36.302891
오후 3:50:16.010 	47.067347	38.441769	5.316602	3.292399	2.898913	48.342435	36.430225	5.487751	3.433885	2.940101	80.671092	134.029704	177.429552	12.662942	52.305561	35.031497
오후 3:50:16.990 	47.095249	38.444062	5.314826	3.273235	2.883760	48.372110	36.436563	5.490905	3.416838	2.918774	80.466317	132.044704	174.752071	11.521848	52.667243	35.810908
오후 3:50:18.008 	46.676707	38.879532	5.389045	3.237887	2.896822	47.964304	36.799004	5.567953	3.410727	2.971041	80.531679	131.595590	174.858690	9.817111	54.720764	35.462125
오후 3:50:19.013 	46.753420	38.834865	5.333428	3.215279	2.895085	47.935660	36.801342	5.536032	3.411868	2.973331	80.547706	130.429637	169.029925	8.484866	56.409743	35.105391
오후 3:50:19.997 	46.775332	38.746337	5.427462	3.251655	2.895975	48.312489	36.579387	5.560522	3.396759	2.919755	79.994213	127.923848	169.153845	10.513032	54.930348	34.556620
오후 3:50:21.034 	46.420418	39.344906	5.315463	3.101209	2.814488	47.795595	37.286050	5.533164	3.230745	2.790004	79.365403	121.187016	169.623674	11.454687	54.201183	34.344130
오후 3:50:22.029 	46.525962	39.223383	5.413082	3.107803	2.695228	47.473111	37.459481	5.670114	3.288574	2.765737	79.457923	121.630062	165.492545	12.419464	53.451066	34.129470
오후 3:50:23.022 	46.021953	39.681643	5.414121	3.094062	2.635615	46.853149	38.002569	5.676094	3.265216	2.721175	78.705805	115.410814	164.979885	12.574786	52.814102	34.611112
오후 3:50:24.057 	46.840940	39.001320	5.270923	3.100494	2.739391	48.174450	36.927132	5.522189	3.293952	2.824525	78.700044	115.367378	166.191862	13.303690	50.784980	35.911330
오후 3:50:25.022 	46.192172	38.943585	5.616121	3.201949	2.690134	48.107614	36.602190	5.672914	3.340630	2.780928	78.562034	118.483815	173.577164	12.635369	49.918306	37.446324
오후 3:50:26.004 	46.849519	38.966011	5.147501	3.119922	2.740268	48.269102	36.791244	5.386798	3.337010	2.868048	78.623145	119.246937	174.817363	11.710850	51.397151	36.891999
오후 3:50:27.010 	45.956594	40.024061	5.091203	3.077865	2.679861	47.865601	37.564094	5.226690	3.243963	2.814415	78.700044	121.430165	181.786511	12.091372	53.083158	34.825469
오후 3:50:28.005 	46.171550	40.092128	4.952218	3.011952	2.567629	48.186043	37.583612	5.077656	3.133440	2.735188	78.716578	122.312330	182.998169	11.790360	53.590601	34.619039
오후 3:50:29.047 	45.304079	40.621493	5.090942	2.902870	2.495818	47.781931	37.910151	5.064759	2.989044	2.679011	78.413732	123.797815	188.356724	12.326634	52.205829	35.467536
오후 3:50:30.045 	46.208968	40.022410	4.950295	2.844342	2.407438	48.225542	37.564005	5.002819	2.948892	2.645188	78.205431	125.859292	191.677455	12.994961	52.483780	34.521258
오후 3:50:31.037 	46.452258	39.819611	4.982072	2.830705	2.364486	48.410592	37.460769	5.015227	2.926812	2.604168	77.981017	128.188753	189.907992	14.147484	52.550922	33.301594
오후 3:50:32.072 	46.899072	39.729228	4.867781	2.685443	2.257293	48.808505	37.340647	4.957514	2.752340	2.531682	77.507679	128.178224	186.717476	15.283688	50.181351	34.534962
오후 3:50:33.061 	46.802996	39.805948	4.920132	2.606722	2.207659	48.643837	37.405158	5.007776	2.698524	2.475739	77.900772	128.440552	190.187234	15.128901	47.756869	37.114230
오후 3:50:34.119 	47.846934	39.006389	4.695375	2.681446	2.298198	49.513321	36.759954	4.876120	2.753673	2.551883	77.735074	130.007479	192.159172	15.200621	47.693233	37.106146
오후 3:50:35.120 	48.075196	39.195308	4.564296	2.579148	2.229727	49.729387	37.081497	4.680876	2.650363	2.465156	77.806913	129.894896	194.353405	15.135112	48.108558	36.756330
오후 3:50:36.070 	47.972580	38.708369	4.755931	2.684138	2.292997	50.328103	36.163283	4.785758	2.712034	2.512650	78.436945	134.157262	194.683615	13.018358	48.190160	38.791482
