Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:23:38.968 	24.341642	57.450773	8.527207	3.197732	1.819877	28.279547	54.489178	8.410537	2.380616	1.369048	77.457368	66.116155	40.323400	13.713581	56.683733	29.602685
오후 9:23:39.980 	24.034570	57.700703	8.623565	3.223072	1.850499	27.646089	55.034670	8.544058	2.461541	1.380196	77.175588	67.227058	40.483039	16.476222	54.564348	28.959430
오후 9:23:40.894 	24.457406	56.434633	8.799966	3.511100	1.985516	28.862601	53.111924	8.679837	2.680327	1.505835	77.020793	67.847454	40.142893	17.176999	55.446262	27.376739
오후 9:23:41.904 	26.276687	53.832820	9.150675	3.617664	2.123202	30.221003	51.218224	8.807634	2.759117	1.555942	76.743721	68.697713	40.411667	18.382805	58.691899	22.925296
오후 9:23:42.934 	26.535309	53.665292	9.103484	3.648633	2.149251	30.534293	51.438606	8.566003	2.732625	1.539904	76.155219	70.420845	40.176267	18.191167	60.547836	21.260997
오후 9:23:43.944 	26.873610	53.114157	9.118491	3.704181	2.166725	30.530392	51.354324	8.468769	2.770331	1.551558	75.904329	69.681028	40.612715	18.011703	60.833023	21.155274
오후 9:23:45.013 	26.121008	53.724834	9.171284	3.852589	2.249388	30.081123	51.905911	8.524614	2.830026	1.598145	75.524252	67.242054	40.540840	17.924120	60.766022	21.309858
오후 9:23:45.988 	26.247594	53.731588	9.046051	3.851515	2.261091	30.187099	51.910658	8.417925	2.812154	1.587171	75.359013	67.128981	40.579491	17.283840	62.719128	19.997032
오후 9:23:47.024 	26.314507	53.749458	9.036673	3.822178	2.236273	30.406819	51.776150	8.377261	2.783926	1.560886	75.107509	67.146114	40.795437	16.573302	63.946637	19.480060
오후 9:23:47.976 	27.582337	47.746422	10.265156	4.911465	2.851779	31.633300	47.247997	9.137394	3.428348	1.892427	74.971918	67.214953	40.430159	16.252571	64.577478	19.169951
오후 9:23:49.023 	28.343785	46.042679	10.601555	5.362552	3.237154	32.770653	45.692895	9.266059	3.674939	2.090826	74.867606	65.807150	40.672103	14.914253	65.318605	19.767143
오후 9:23:50.033 	28.009091	46.494448	10.960451	5.457229	3.285692	31.458677	47.395668	9.126647	3.748986	2.138499	74.568065	63.614111	41.059521	14.060991	64.076664	21.862345
오후 9:23:50.978 	29.012610	45.845766	10.710750	5.816698	3.490903	32.766611	46.724388	8.934924	4.035226	2.307479	74.370233	63.043838	41.470383	10.629433	62.976779	26.393787
오후 9:23:51.957 	31.093236	42.321785	11.194125	6.493125	3.879982	35.332616	43.400246	9.154507	4.460581	2.569846	74.038964	62.213726	41.243577	8.491500	65.714266	25.794235
오후 9:23:52.981 	31.367378	41.261574	11.272062	6.942155	4.100635	35.462664	42.547148	9.337116	4.664115	2.714370	73.999331	62.116542	41.918072	6.639135	71.594961	21.765905
오후 9:23:54.010 	31.333399	41.387090	11.280492	6.816192	4.128392	35.408797	42.621437	9.280695	4.687538	2.725401	73.904561	62.217970	42.091744	5.468004	72.210653	22.321343
