Time	EEG_Fp1	EEG_Fp2	PPG
오후 5:25:08.941 	0.000033	0.000030	0.000920
오후 5:25:08.941 	-0.000017	-0.000008	0.000920
오후 5:25:08.943 	0.000002	0.000008	0.000920
오후 5:25:08.943 	0.000058	0.000061	0.000920
오후 5:25:08.944 	0.000060	0.000062	0.000919
오후 5:25:08.944 	0.000042	0.000040	0.000919
오후 5:25:08.960 	0.000031	0.000034	0.000919
오후 5:25:08.960 	0.000071	0.000066	0.000919
오후 5:25:08.961 	0.000065	0.000059	0.000919
오후 5:25:08.961 	0.000031	0.000021	0.000919
오후 5:25:08.966 	0.000008	0.000005	0.000919
오후 5:25:08.966 	0.000042	0.000036	0.000919
오후 5:25:08.982 	0.000041	0.000038	0.000918
오후 5:25:08.982 	0.000032	0.000038	0.000918
오후 5:25:08.983 	-0.000009	-0.000014	0.000918
오후 5:25:08.983 	0.000036	0.000031	0.000918
오후 5:25:08.990 	0.000039	0.000036	0.000918
오후 5:25:08.990 	0.000025	0.000022	0.000918
오후 5:25:09.004 	-0.000016	-0.000018	0.000918
오후 5:25:09.004 	0.000010	0.000011	0.000918
오후 5:25:09.005 	0.000031	0.000030	0.000918
오후 5:25:09.005 	0.000042	0.000040	0.000918
오후 5:25:09.007 	0.000006	0.000005	0.000917
오후 5:25:09.007 	0.000024	0.000013	0.000917
오후 5:25:09.028 	0.000069	0.000068	0.000917
오후 5:25:09.028 	0.000051	0.000042	0.000917
오후 5:25:09.029 	0.000048	0.000038	0.000917
오후 5:25:09.029 	0.000027	0.000023	0.000917
오후 5:25:09.030 	0.000031	0.000033	0.000917
오후 5:25:09.030 	0.000043	0.000042	0.000917
오후 5:25:09.035 	0.000024	0.000024	0.000917
오후 5:25:09.035 	0.000001	-0.000001	0.000917
오후 5:25:09.049 	0.000053	0.000052	0.000917
오후 5:25:09.049 	0.000058	0.000050	0.000917
오후 5:25:09.050 	0.000038	0.000035	0.000917
오후 5:25:09.050 	-0.000004	-0.000008	0.000918
오후 5:25:09.068 	0.000025	0.000024	0.000918
오후 5:25:09.068 	0.000034	0.000039	0.000918
오후 5:25:09.070 	0.000021	0.000022	0.000919
오후 5:25:09.070 	-0.000022	-0.000020	0.000920
오후 5:25:09.075 	-0.000004	-0.000004	0.000920
오후 5:25:09.075 	0.000047	0.000042	0.000921
오후 5:25:09.090 	0.000019	0.000019	0.000922
오후 5:25:09.090 	0.000006	-0.000001	0.000924
오후 5:25:09.115 	-0.000028	-0.000031	0.000925
오후 5:25:09.115 	0.000001	0.000010	0.000927
오후 5:25:09.120 	0.000011	0.000018	0.000928
오후 5:25:09.120 	0.000037	0.000039	0.000930
오후 5:25:09.136 	0.000025	0.000028	0.000932
오후 5:25:09.136 	0.000071	0.000055	0.000934
오후 5:25:09.137 	0.000051	0.000057	0.000936
오후 5:25:09.137 	0.000036	0.000044	0.000937
오후 5:25:09.156 	0.000000	0.000003	0.000939
오후 5:25:09.156 	0.000047	0.000042	0.000941
오후 5:25:09.158 	0.000031	0.000042	0.000942
오후 5:25:09.158 	0.000026	0.000030	0.000944
오후 5:25:09.160 	0.000002	-0.000003	0.000945
오후 5:25:09.160 	0.000013	0.000017	0.000947
오후 5:25:09.176 	0.000031	0.000045	0.000948
오후 5:25:09.176 	0.000035	0.000043	0.000949
오후 5:25:09.177 	0.000030	0.000036	0.000950
오후 5:25:09.177 	0.000030	0.000041	0.000951
오후 5:25:09.185 	0.000024	0.000039	0.000952
오후 5:25:09.185 	0.000034	0.000046	0.000953
오후 5:25:09.187 	0.000019	0.000038	0.000954
오후 5:25:09.187 	0.000016	0.000025	0.000954
오후 5:25:09.235 	0.000024	0.000052	0.000955
오후 5:25:09.235 	0.000051	0.000089	0.000956
오후 5:25:09.236 	0.000049	0.000080	0.000956
오후 5:25:09.236 	0.000047	0.000053	0.000957
오후 5:25:09.237 	0.000109	0.000118	0.000957
오후 5:25:09.237 	0.000144	0.000154	0.000957
오후 5:25:09.239 	0.000167	0.000165	0.000957
오후 5:25:09.239 	0.000186	0.000177	0.000958
오후 5:25:09.240 	0.000243	0.000219	0.000958
오후 5:25:09.240 	0.000268	0.000257	0.000958
오후 5:25:09.241 	0.000283	0.000247	0.000958
오후 5:25:09.241 	0.000290	0.000249	0.000958
오후 5:25:09.242 	0.000302	0.000253	0.000958
오후 5:25:09.242 	0.000359	0.000291	0.000958
오후 5:25:09.243 	0.000369	0.000287	0.000957
오후 5:25:09.243 	0.000361	0.000298	0.000957
오후 5:25:09.255 	0.000346	0.000285	0.000957
오후 5:25:09.255 	0.000414	0.000337	0.000957
오후 5:25:09.259 	0.000414	0.000337	0.000956
오후 5:25:09.259 	0.000382	0.000304	0.000956
오후 5:25:09.270 	0.000366	0.000285	0.000956
오후 5:25:09.270 	0.000349	0.000259	0.000956
오후 5:25:09.279 	0.000365	0.000279	0.000955
오후 5:25:09.279 	0.000329	0.000236	0.000955
오후 5:25:09.285 	0.000333	0.000242	0.000954
오후 5:25:09.285 	0.000298	0.000181	0.000954
오후 5:25:09.294 	0.000294	0.000194	0.000953
오후 5:25:09.294 	0.000316	0.000219	0.000953
오후 5:25:09.307 	0.000270	0.000177	0.000952
오후 5:25:09.307 	0.000271	0.000156	0.000951
오후 5:25:09.311 	0.000273	0.000162	0.000951
