Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 5:25:09.199 	39.700605	41.957158	5.770048	4.362671	4.940870	42.882562	40.975545	5.617981	3.699361	3.992613	79.989318	70.915787	51.837556	26.122873	53.472931	20.404196
오후 5:25:10.190 	40.997238	40.749930	5.875503	4.295113	4.834897	43.884512	39.912516	5.707284	3.716547	3.973590	80.021103	70.370621	52.005024	26.660036	52.993966	20.345998
오후 5:25:11.206 	41.035915	40.932356	5.891118	4.201059	4.696885	43.874765	40.059516	5.740212	3.670212	3.849506	80.117694	70.233252	50.958497	26.880240	52.325885	20.793875
오후 5:25:12.520 	41.470147	40.915397	5.816856	4.071554	4.540496	44.305029	39.957430	5.658370	3.549331	3.737318	80.171306	70.223485	50.964330	28.390937	50.837844	20.771220
오후 5:25:13.558 	41.517371	41.025472	5.882289	4.012673	4.350590	44.338639	40.025236	5.724906	3.488451	3.620734	80.090915	70.721796	52.041675	31.026036	46.626194	22.347770
오후 5:25:14.195 	41.245621	41.363682	5.897790	3.983875	4.294775	44.144876	40.321075	5.728873	3.462173	3.579853	79.994726	70.674631	52.166525	32.257501	46.806908	20.935591
오후 5:25:15.231 	42.649126	39.617424	6.211730	4.018460	4.344441	44.761153	38.640281	6.566715	3.512161	3.524968	79.872000	70.541282	51.995961	32.400333	47.528075	20.071592
오후 5:25:16.221 	42.320117	40.097678	6.226459	4.017889	4.222676	44.369238	39.909975	5.995619	3.456592	3.506117	79.792208	70.165086	51.994056	31.857027	47.612183	20.530790
오후 5:25:17.223 	44.643716	37.677573	6.040196	3.999671	4.316937	46.617595	37.712821	5.750306	3.460468	3.554934	79.617225	69.324113	52.117776	31.450236	47.732369	20.817395
오후 5:25:18.221 	44.449319	37.680127	6.371676	4.042415	4.158070	46.947028	37.335579	5.987283	3.428053	3.327421	79.453545	69.357619	53.013126	30.812460	49.015192	20.172347
오후 5:25:19.240 	43.590734	38.597534	6.113133	4.076042	4.344763	46.105854	38.059918	5.892128	3.490681	3.426166	79.217683	70.239890	52.663894	31.391283	47.315709	21.293008
오후 5:25:20.230 	44.648399	37.912306	6.017275	3.947100	4.208392	47.604273	37.024073	5.763069	3.343991	3.328779	78.990182	71.255739	52.557039	32.018178	46.351030	21.630792
오후 5:25:21.276 	43.683619	38.060145	6.428939	4.095878	4.303056	45.924133	37.808973	6.330554	3.466180	3.397825	78.784972	72.863099	52.587591	31.956675	46.334531	21.708794
오후 5:25:22.304 	44.091871	38.430896	6.001744	3.852454	4.289517	46.717158	38.046602	5.666778	3.207702	3.344705	78.509651	74.065642	52.821591	32.446642	49.290871	18.262487
오후 5:25:23.269 	44.410879	38.105085	5.974721	3.809031	4.198188	46.616100	38.138188	5.626570	3.154096	3.257784	78.139535	76.000166	52.703908	32.542984	50.686394	16.770622
오후 5:25:24.237 	44.821710	37.736234	6.075843	3.891106	4.247788	47.371029	37.447145	5.606726	3.208253	3.324682	77.782516	76.553129	53.000390	31.813297	52.431674	15.755029
오후 5:25:25.279 	45.112159	37.591574	6.013354	3.822374	4.215148	47.497086	37.369227	5.632490	3.175379	3.314453	77.493362	76.427698	52.994632	31.425650	52.852511	15.721839
오후 5:25:26.243 	44.865278	37.650191	6.183142	3.942817	4.323358	47.601615	37.337299	5.715288	3.242131	3.206355	77.056856	76.323543	53.198618	29.896591	53.203997	16.899412
