Time	EEG_Fp1	EEG_Fp2	PPG
오후 9:01:02.154 	0.000001	0.000007	0.000300
오후 9:01:02.154 	0.000021	-0.000002	0.000299
오후 9:01:02.166 	0.000014	0.000016	0.000298
오후 9:01:02.166 	-0.000008	0.000036	0.000297
오후 9:01:02.167 	-0.000015	0.000027	0.000296
오후 9:01:02.167 	0.000005	0.000022	0.000295
오후 9:01:02.168 	0.000004	0.000006	0.000295
오후 9:01:02.168 	0.000015	0.000027	0.000294
오후 9:01:02.171 	-0.000017	0.000011	0.000293
오후 9:01:02.171 	0.000011	0.000016	0.000292
오후 9:01:02.183 	0.000013	0.000023	0.000291
오후 9:01:02.183 	0.000011	0.000025	0.000291
오후 9:01:02.185 	-0.000006	0.000023	0.000291
오후 9:01:02.185 	-0.000010	0.000019	0.000290
오후 9:01:02.190 	-0.000021	0.000015	0.000290
오후 9:01:02.190 	-0.000009	0.000021	0.000290
오후 9:01:02.204 	0.000004	0.000005	0.000290
오후 9:01:02.204 	0.000012	0.000002	0.000290
오후 9:01:02.206 	0.000002	-0.000024	0.000291
오후 9:01:02.206 	-0.000004	-0.000003	0.000292
오후 9:01:02.207 	0.000004	0.000014	0.000295
오후 9:01:02.207 	-0.000005	0.000006	0.000298
오후 9:01:02.222 	0.000025	0.000018	0.000303
오후 9:01:02.222 	0.000010	-0.000009	0.000308
오후 9:01:02.223 	0.000015	0.000000	0.000315
오후 9:01:02.223 	-0.000002	0.000001	0.000323
오후 9:01:02.232 	0.000020	-0.000005	0.000333
오후 9:01:02.232 	0.000004	-0.000001	0.000343
오후 9:01:02.259 	0.000025	0.000002	0.000354
오후 9:01:02.259 	0.000021	-0.000003	0.000367
오후 9:01:02.265 	0.000001	-0.000017	0.000380
오후 9:01:02.265 	0.000005	-0.000017	0.000393
오후 9:01:02.266 	0.000005	-0.000021	0.000408
오후 9:01:02.266 	-0.000002	-0.000026	0.000423
오후 9:01:02.277 	-0.000001	-0.000034	0.000438
오후 9:01:02.277 	-0.000002	-0.000022	0.000453
오후 9:01:02.283 	-0.000019	-0.000024	0.000466
오후 9:01:02.283 	-0.000014	-0.000008	0.000480
오후 9:01:02.296 	-0.000022	-0.000021	0.000494
오후 9:01:02.296 	-0.000020	-0.000024	0.000505
오후 9:01:02.304 	-0.000009	-0.000034	0.000516
오후 9:01:02.304 	-0.000005	-0.000014	0.000527
오후 9:01:02.315 	-0.000017	-0.000030	0.000536
오후 9:01:02.315 	-0.000009	-0.000021	0.000545
오후 9:01:02.317 	-0.000008	-0.000017	0.000552
오후 9:01:02.317 	-0.000012	-0.000006	0.000558
오후 9:01:02.332 	-0.000019	0.000008	0.000564
오후 9:01:02.332 	-0.000019	-0.000006	0.000569
오후 9:01:02.334 	-0.000011	-0.000006	0.000572
오후 9:01:02.334 	-0.000002	-0.000002	0.000575
오후 9:01:02.340 	-0.000018	-0.000002	0.000577
오후 9:01:02.340 	-0.000027	-0.000004	0.000578
오후 9:01:02.351 	-0.000004	-0.000002	0.000579
오후 9:01:02.351 	-0.000018	-0.000004	0.000579
오후 9:01:02.353 	-0.000017	-0.000005	0.000579
오후 9:01:02.353 	-0.000029	-0.000013	0.000578
오후 9:01:02.359 	-0.000019	-0.000016	0.000577
오후 9:01:02.359 	-0.000029	-0.000024	0.000576
오후 9:01:02.370 	-0.000014	-0.000006	0.000574
오후 9:01:02.370 	-0.000013	0.000008	0.000572
오후 9:01:02.371 	-0.000022	-0.000001	0.000570
오후 9:01:02.371 	-0.000017	0.000006	0.000568
오후 9:01:02.378 	0.000002	0.000017	0.000565
오후 9:01:02.378 	-0.000002	0.000004	0.000562
오후 9:01:02.389 	-0.000006	-0.000018	0.000559
오후 9:01:02.389 	0.000006	-0.000003	0.000557
오후 9:01:02.393 	-0.000004	-0.000008	0.000554
오후 9:01:02.393 	-0.000013	-0.000006	0.000551
오후 9:01:02.408 	-0.000033	0.000000	0.000548
오후 9:01:02.408 	-0.000030	-0.000017	0.000545
오후 9:01:02.409 	-0.000000	0.000025	0.000542
오후 9:01:02.409 	0.000008	0.000020	0.000539
오후 9:01:02.414 	0.000009	0.000008	0.000535
오후 9:01:02.414 	0.000017	0.000009	0.000532
오후 9:01:02.426 	0.000016	0.000010	0.000528
