Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:01:02.997 	36.249181	37.030678	11.198084	5.415130	4.263491	32.433720	43.749133	9.259670	5.855458	4.442794	87.004196	92.795124	61.548234	9.886596	47.365470	42.747934
오후 9:01:03.954 	36.180086	37.322471	11.217523	5.319057	4.164496	32.437724	44.050648	9.217146	5.713005	4.320232	87.099518	93.380692	61.427708	8.483547	49.701325	41.815128
오후 9:01:04.974 	36.259674	37.271643	11.235193	5.317539	4.135478	32.470174	44.090108	9.165045	5.732575	4.256802	86.785790	96.782072	61.928758	5.891151	60.410717	33.698132
오후 9:01:05.965 	35.965451	37.227024	11.293824	5.423527	4.160935	31.677621	44.382364	9.262572	5.836121	4.259238	86.395275	100.246876	61.808564	4.008900	64.584511	31.406589
오후 9:01:07.071 	35.428665	38.451126	11.258034	5.082081	4.013620	31.694214	44.966326	9.303935	5.490219	4.083609	85.960126	103.094417	62.207273	3.724166	65.768710	30.507123
오후 9:01:08.712 	35.310960	38.963135	11.040865	4.848669	3.767145	32.130590	45.034887	9.146681	5.118653	3.798911	85.792083	104.352952	62.059613	3.486905	67.496751	29.016344
오후 9:01:09.468 	35.390383	39.528287	10.880870	4.799841	3.682115	32.363873	45.344173	9.053510	5.055624	3.726002	85.889015	104.823955	62.650060	3.385337	67.206753	29.407910
오후 9:01:10.012 	35.391617	39.605804	10.864117	4.726635	3.681582	32.336014	45.472818	9.036312	5.047902	3.709112	85.980302	104.578459	63.316296	4.327275	67.525929	28.146796
오후 9:01:11.010 	35.271686	39.812629	10.895322	4.640212	3.607628	32.476535	45.775943	8.885187	4.832046	3.605789	86.038370	103.962661	62.889719	3.324555	67.783157	28.892288
오후 9:01:12.047 	35.327243	39.827681	10.901324	4.611917	3.569369	32.576523	45.784667	8.862083	4.792209	3.561575	86.437817	104.076718	62.783672	4.422635	67.033842	28.543523
오후 9:01:13.024 	35.337344	39.934262	10.900898	4.587132	3.521856	32.666358	45.733736	8.912150	4.751649	3.498280	86.504752	104.018138	62.574125	3.968238	67.159463	28.872300
오후 9:01:14.015 	35.359984	39.969377	10.900630	4.547558	3.489831	32.728530	45.809356	8.903360	4.667684	3.429224	86.547401	103.705958	63.371593	4.160138	68.116650	27.723213
오후 9:01:15.001 	35.414213	39.976602	10.934251	4.533023	3.430414	32.782726	45.855284	8.936267	4.595786	3.355653	86.529118	103.884636	63.614956	4.339286	66.213317	29.447397
오후 9:01:16.068 	35.278604	40.337368	10.966792	4.419765	3.338766	32.688371	46.343108	8.856892	4.423095	3.237525	86.456061	104.627453	64.380038	4.386657	66.065423	29.547920
