Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:35:12.754 	24.988147	35.761931	16.960204	10.926357	3.074504	22.967623	36.084802	15.318790	12.337316	4.467347	115.379230	23.638839	33.377256	5.055871	62.416528	32.527600
오후 8:35:13.759 	23.828951	35.757869	17.466540	11.373588	3.191129	21.160062	36.146540	15.957561	13.008001	4.676927	115.573916	23.343910	33.297973	6.477369	60.425808	33.096823
오후 8:35:14.785 	23.916716	35.669850	17.491462	11.296360	3.214675	21.302543	35.867135	15.846121	13.004422	4.732454	115.556867	23.435478	33.562345	8.900299	60.233625	30.866076
오후 8:35:15.804 	23.823698	35.758143	17.372685	11.280055	3.196877	21.259620	35.765467	16.044199	12.995859	4.736140	115.657577	22.999756	33.082384	10.794804	60.114120	29.091076
오후 8:35:16.762 	23.817177	35.779791	17.188169	11.341048	3.209404	21.275503	35.865944	16.017104	12.879975	4.675652	115.793018	22.524262	31.557256	12.464934	57.698221	29.836845
오후 8:35:17.749 	23.461084	36.431042	17.122582	11.150268	3.128668	21.048713	36.738806	15.866687	12.527191	4.560398	115.742190	22.303493	31.374217	13.190926	56.975444	29.833630
오후 8:35:18.812 	24.337126	36.098737	17.091994	10.945002	3.081410	21.934257	36.360724	15.794479	12.413433	4.507041	115.725258	22.640095	32.128059	16.924010	51.381546	31.694444
오후 8:35:19.850 	23.483351	35.672575	17.828771	11.503711	3.228979	20.410359	36.175184	16.607006	13.168136	4.738363	115.843890	22.355788	32.155985	20.173068	47.626251	32.200681
오후 8:35:20.847 	23.622989	35.399989	17.735603	11.557035	3.259434	20.361149	35.844610	16.907524	13.185153	4.759720	115.962765	22.364752	31.969355	23.871873	47.729532	28.398595
오후 8:35:21.819 	23.674925	35.446217	17.628175	11.601592	3.232250	20.552991	35.737699	16.813258	13.173954	4.765954	116.033994	22.024478	31.862642	24.630778	47.385339	27.983883
오후 8:35:22.814 	24.037049	35.205230	17.881371	11.348736	3.227119	21.083496	35.671343	17.122146	12.845222	4.735949	116.202808	21.675831	31.221543	25.339550	48.994646	25.665803
오후 8:35:23.862 	24.004679	35.019745	18.039201	11.340354	3.223051	21.015846	35.687846	17.276131	12.776586	4.720034	116.236630	21.349791	30.571848	25.311093	49.019969	25.668938
오후 8:35:24.851 	23.291237	34.082782	18.763412	11.849773	3.329668	20.723751	34.540502	17.809842	13.259391	4.917501	116.246216	20.811882	30.162979	25.316681	48.995758	25.687561
오후 8:35:25.806 	23.274665	34.165268	18.560619	11.768863	3.288858	20.815291	34.585713	17.697163	13.050150	4.948435	116.279740	20.652348	30.082612	26.422146	48.283636	25.294217
오후 8:35:26.905 	23.158366	35.301662	18.247293	11.370908	3.193398	21.129907	35.240331	17.568396	12.573006	4.773158	116.272227	20.584893	30.006897	25.409331	46.165779	28.424890
오후 8:35:27.823 	24.217620	34.560323	18.212754	11.230320	3.177822	22.468641	34.213966	17.609307	12.405732	4.733314	116.272227	20.584893	30.004476	26.057648	47.106370	26.835982
오후 8:35:28.891 	24.681735	34.427698	17.885945	11.244523	3.224765	22.852487	34.130598	17.227545	12.420032	4.808126	116.288837	20.543826	29.783288	25.866982	47.038597	27.094421
오후 8:35:29.820 	24.593329	34.397601	17.907586	11.363840	3.241327	22.727209	34.300146	17.389181	12.330608	4.720921	116.255623	20.427380	29.604658	23.565017	45.530710	30.904273
오후 8:35:30.828 	25.155702	35.283643	17.153434	10.972719	3.165062	23.588761	35.306969	16.567145	11.784099	4.520347	116.239023	20.411266	29.069680	22.473947	46.343561	31.182492
오후 8:35:31.811 	24.987419	35.479718	17.087116	10.974975	3.158841	23.558570	35.400476	16.613692	11.668256	4.487514	116.363636	19.822970	28.904239	21.393989	47.812458	30.793553
오후 8:35:32.844 	24.164385	35.435896	17.619942	11.360727	3.329577	23.185888	34.795493	17.245541	11.986527	4.683590	116.330691	19.743286	28.285664	19.452981	48.957572	31.589447
오후 8:35:33.841 	23.941732	35.808946	17.590045	11.141287	3.297428	22.973040	35.089005	17.160178	11.805799	4.666382	116.479093	18.726678	27.451460	18.377106	50.760345	30.862548
오후 8:35:34.850 	24.072491	35.680384	17.707617	11.233828	3.285009	23.012039	35.269376	17.079353	11.909512	4.666695	116.363636	18.947649	27.857476	18.745045	50.962141	30.292814
오후 8:35:35.834 	21.753228	39.501788	16.820890	10.705389	3.145173	21.258030	38.763388	16.131319	11.328851	4.404765	116.339154	19.027966	28.329910	19.133817	50.522187	30.343996
오후 8:35:36.824 	22.208393	35.468691	18.283183	11.910859	3.499221	22.385952	34.953474	17.226722	12.325858	4.769842	116.298374	18.962241	28.092328	18.070220	51.159533	30.770247
오후 8:35:37.913 	21.285097	36.064301	18.405762	11.798816	3.484900	22.327516	35.459733	16.991703	12.062994	4.711739	116.241329	18.975432	28.175962	16.944326	52.688093	30.367581
오후 8:35:38.825 	21.807153	35.778123	18.174221	11.786115	3.466890	23.106835	35.183104	16.828670	11.912455	4.650694	116.133409	18.720930	28.318724	15.779772	53.497381	30.722847
오후 8:35:39.854 	21.917172	35.692236	18.090232	11.855142	3.459912	23.161193	35.106516	16.896285	11.868564	4.663463	116.051405	18.697200	28.379657	15.689402	53.078101	31.232497
오후 8:35:40.848 	22.138497	35.321577	18.078252	11.875762	3.480294	23.166016	34.818959	17.068288	11.751291	4.665452	115.969517	18.712448	28.188803	15.335634	50.972172	33.692194
오후 8:35:41.897 	22.465316	35.397796	17.931803	11.779720	3.474724	23.332621	34.909023	16.926419	11.622569	4.643718	115.977701	18.688923	28.425272	15.002671	48.694698	36.302631
오후 8:35:42.842 	22.170296	35.918219	17.745235	11.456784	3.491076	23.401547	34.839451	16.882367	11.406420	4.695669	116.002259	18.656358	28.239824	15.050526	48.386051	36.563422
오후 8:35:43.883 	21.261713	35.424345	18.307019	12.134358	3.662214	22.592303	34.604569	17.300331	11.950761	4.928612	115.904090	18.912256	28.755063	16.665099	50.350371	32.984530
오후 8:35:44.886 	21.106801	35.321467	18.472033	12.173078	3.680480	22.603218	34.340981	17.418853	12.023501	4.966235	115.814248	18.096820	27.618753	16.802379	50.567567	32.630054
오후 8:35:45.877 	21.094534	35.268425	18.461995	12.215683	3.731091	22.443208	34.164459	17.456328	12.079055	4.966616	115.846902	18.274367	27.396344	15.996608	49.444885	34.558507
