Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 5:14:24.503 	47.570696	31.464017	11.986638	3.639603	2.099913	40.553625	34.666935	10.005166	6.010703	3.431972	78.764052	52.718848	31.157915	6.299811	67.331129	26.369060
오후 5:14:25.537 	47.697121	31.420394	11.964058	3.628948	2.106023	40.589838	34.627456	9.992874	5.999139	3.443277	78.837488	52.646364	31.604562	6.078743	67.185102	26.736155
오후 5:14:26.555 	47.501220	31.947114	11.819921	3.588848	2.075815	40.315179	35.102351	9.895445	5.936869	3.415372	78.863773	52.518427	31.591854	5.061748	70.350095	24.588158
오후 5:14:27.474 	47.690939	31.796754	11.856437	3.579641	2.073015	40.556571	34.914374	9.927346	5.919431	3.437417	78.916394	52.277078	31.569603	3.856100	72.636607	23.507293
오후 5:14:28.473 	47.226962	31.966187	11.993141	3.598508	2.082988	39.497250	35.510064	10.109597	6.031620	3.452677	78.753697	53.554038	32.484372	2.962717	72.121723	24.915560
오후 5:14:30.079 	47.363759	32.186984	11.885378	3.517169	2.011618	39.151684	36.214685	10.087960	5.908543	3.374980	78.737767	54.554313	32.605151	2.080674	68.138232	29.781095
오후 5:14:31.121 	47.553566	32.064249	11.908709	3.499065	1.981323	38.982579	36.260350	10.123888	5.956404	3.391340	78.743009	54.530649	33.480124	1.362967	69.673955	28.963078
오후 5:14:31.863 	35.296460	40.165146	13.974881	4.519163	2.174076	29.195068	41.934361	11.479241	6.860247	3.603418	78.732526	54.544801	33.142602	0.876299	73.122728	26.000973
오후 5:14:32.535 	33.200500	40.186841	9.707355	6.325122	4.792917	37.570380	37.302954	9.175876	6.212358	4.866897	78.914504	54.436803	33.386888	0.640055	72.122748	27.237197
오후 5:14:33.436 	39.796568	37.154630	8.679699	5.490914	4.548266	40.077874	37.798937	7.684216	5.531201	4.890318	79.164659	55.398681	32.261588	1.299770	72.230175	26.470056
오후 5:14:34.427 	42.113809	38.260541	6.750914	4.714127	4.738349	41.610313	37.821200	6.619392	5.081797	5.130142	79.527381	55.438676	32.772858	1.906412	70.625213	27.468375
오후 5:14:35.393 	42.449776	38.385860	6.514032	4.532126	4.733328	41.666136	37.981799	6.550715	4.986286	5.106102	79.686066	54.677302	32.383560	2.202612	70.973559	26.823829
오후 5:14:36.474 	42.671523	37.820149	6.687797	4.641720	4.693840	41.233001	37.929298	6.680529	5.177767	5.182264	79.733795	54.487744	32.581832	1.957967	72.650846	25.391187
오후 5:14:37.470 	42.408196	37.821247	6.847306	4.760214	4.594602	40.710492	37.881986	7.269286	5.142403	4.992022	79.633101	55.314346	32.352949	1.774886	72.489100	25.736014
오후 5:14:38.405 	42.417959	38.073845	6.971120	4.551458	4.523263	40.732970	38.752951	6.764242	5.035830	4.906051	79.479899	55.772643	32.356011	1.681379	72.198940	26.119681
오후 5:14:39.421 	43.284232	37.233499	6.908930	4.559844	4.322369	42.233489	37.092084	6.927286	5.034547	4.766336	79.306282	56.475488	32.097749	1.446997	76.244671	22.308332
오후 5:14:40.390 	42.458466	38.421337	6.863416	4.413132	4.201216	41.609090	37.979767	6.899855	4.924963	4.682653	79.185860	57.553032	32.239799	1.751836	82.782319	15.465845
오후 5:14:41.440 	42.718457	38.361334	6.914870	4.304966	4.037596	41.740114	38.003540	6.960758	4.828551	4.585132	79.085256	58.369305	32.140004	2.269817	82.091946	15.638237
오후 5:14:42.424 	43.084916	38.230903	6.812937	4.281488	4.034125	42.029797	37.974488	6.785008	4.844297	4.630888	78.971722	58.357376	32.303911	2.362452	81.889419	15.748129
오후 5:14:43.435 	43.308190	37.986151	6.750323	4.164868	4.049930	42.478170	37.677413	6.816611	4.657909	4.601255	78.869032	59.024445	32.061824	2.746519	80.877816	16.375665
오후 5:14:44.421 	43.616849	37.934623	6.766706	4.084691	3.989560	42.518742	37.811489	6.791080	4.591067	4.543242	78.826979	59.274128	32.071215	3.700866	79.847242	16.451891
오후 5:14:45.485 	42.897529	38.237694	6.766543	4.045606	3.937992	41.941788	38.009899	6.791727	4.585518	4.456678	78.795470	59.418326	32.096246	5.188845	80.567099	14.244057
오후 5:14:46.488 	44.317345	37.321875	6.746950	3.986270	3.903852	43.258912	37.226050	6.721997	4.574064	4.339681	78.790221	59.470875	32.140004	5.653685	81.623919	12.722396
오후 5:14:47.478 	44.975706	37.071147	6.521681	3.896767	3.839235	43.992050	37.002644	6.458918	4.495557	4.228271	78.805970	59.353564	32.227341	6.126869	81.069427	12.803705
오후 5:14:48.425 	45.157031	36.970938	6.447540	3.867916	3.795598	44.280433	36.828697	6.371868	4.407205	4.187868	78.811221	59.331243	32.077475	6.355828	80.484669	13.159503
오후 5:14:49.432 	45.482274	36.457176	6.569949	3.899527	3.791730	44.348796	36.566619	6.453201	4.423984	4.181342	78.914504	58.639303	32.487422	7.461918	78.259109	14.278974
오후 5:14:50.532 	44.877725	36.917230	6.682235	3.833347	3.738947	43.597836	37.198270	6.620106	4.353325	4.104436	78.888523	58.821961	32.417199	8.544337	75.968856	15.486807
오후 5:14:51.478 	44.824440	37.095302	6.726498	3.781801	3.682053	43.620196	37.241370	6.695089	4.297968	4.086088	79.042973	58.461479	32.305121	9.929951	74.756814	15.313234
오후 5:14:52.443 	44.584983	36.737028	6.830284	3.897889	3.823336	43.246119	37.094497	6.764207	4.413959	4.241598	78.911129	58.890307	33.635679	10.742693	76.029850	13.227457
오후 5:14:53.480 	45.426195	36.854749	6.522160	3.695605	3.588201	44.283236	37.044193	6.432766	4.169199	4.013446	78.681290	59.669998	31.964736	10.818083	76.021215	13.160702
오후 5:14:54.444 	45.159645	36.786373	6.610619	3.823487	3.614311	44.279240	36.924888	6.488335	4.203312	4.007515	78.388123	58.624225	31.467683	10.668223	75.071404	14.260373
오후 5:14:55.544 	46.236092	35.947886	6.333700	3.852138	3.642413	45.354367	35.914808	6.309767	4.291213	4.067559	78.186025	58.127757	31.493194	10.648299	75.088888	14.262813
오후 5:14:56.499 	46.830343	36.129886	6.053589	3.593539	3.320939	45.554078	36.224511	6.134963	4.118947	3.786481	77.860335	56.763422	31.647858	10.574457	74.855392	14.570151
