Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 4:04:28.678 	28.323828	42.362959	10.865201	5.710940	5.371254	31.789682	43.320417	9.018662	4.810411	4.415950	84.371206	93.105193	109.530210	0.048045	66.308269	33.643686
오후 4:04:29.614 	28.305941	42.401214	10.935290	5.685971	5.378185	32.204192	42.788039	9.163500	4.764746	4.315646	84.646509	92.042702	109.541354	0.297247	65.624164	34.078589
오후 4:04:30.609 	28.289070	42.436152	10.920677	5.668005	5.366692	32.232339	42.782797	9.146977	4.741059	4.307576	85.096953	89.357835	109.722291	0.480918	65.837813	33.681269
오후 4:04:31.635 	28.378763	42.652403	10.782933	5.614409	5.278912	32.416362	42.919463	9.024686	4.650004	4.221122	85.358292	87.152619	105.513108	1.829499	75.020982	23.149519
오후 4:04:32.738 	28.540590	42.638316	10.743786	5.579377	5.207820	32.565593	42.905158	9.008910	4.573891	4.170182	85.134189	86.715848	101.608563	1.490912	66.418593	32.090495
오후 4:04:33.922 	28.603472	42.676012	10.762040	5.516826	5.144524	32.609619	43.058107	9.004375	4.475280	4.092170	85.063291	85.905788	98.217957	1.606227	66.133193	32.260580
오후 4:04:34.550 	28.602061	42.907647	10.845454	5.394792	5.048708	32.751174	43.272593	9.045097	4.365172	4.019651	84.892334	85.921934	97.219418	2.781999	73.875823	23.342178
오후 4:04:35.515 	28.607239	43.753908	10.149791	5.396876	4.875823	32.181354	43.720062	9.091077	4.350896	4.025098	85.020487	85.345812	97.020960	2.955434	59.309889	37.734677
오후 4:04:36.511 	27.413618	44.061289	10.747916	5.643265	5.105654	32.459058	44.092143	9.094621	4.110124	3.771986	84.788874	83.342591	94.165617	3.628331	61.224154	35.147515
오후 4:04:37.553 	26.937623	45.072590	10.507659	5.341568	4.928945	27.210020	47.537387	10.289445	4.566392	3.890579	84.431753	77.442968	91.991325	3.760590	74.282396	21.957015
오후 4:04:38.640 	26.726817	44.961372	10.954151	5.355416	5.023807	26.927458	47.004070	10.442498	4.766951	4.004622	84.477861	76.607251	91.225569	3.672796	71.274467	25.052737
오후 4:04:39.626 	26.919940	45.383122	10.635046	5.311184	4.813564	26.916344	46.674408	10.502767	4.805703	3.848619	84.354536	75.882246	91.293093	4.396124	75.162374	20.441502
오후 4:04:40.622 	26.488657	45.384122	10.746726	5.389303	4.890114	27.734143	46.476051	10.293928	4.528977	3.788768	84.138122	74.759090	88.371747	4.432059	63.541561	32.026380
오후 4:04:41.601 	25.684977	45.538669	11.639508	5.619082	4.778053	28.638881	45.934965	10.129618	4.427241	3.745467	83.783746	68.696147	78.903622	4.142374	75.595371	20.262255
오후 4:04:42.573 	28.020929	44.797809	10.462759	4.928296	4.400112	29.359278	45.503461	9.800672	4.240119	3.540797	84.105300	66.589847	78.278309	4.835697	65.064290	30.100013
오후 4:04:43.498 	27.511824	45.920358	10.200608	4.832876	4.366802	29.057125	46.439083	9.571788	4.185447	3.524202	84.208189	66.189429	77.875453	4.551822	64.953507	30.494671
오후 4:04:44.560 	27.447457	46.101645	10.152119	4.818434	4.341569	29.039078	46.617194	9.527331	4.186950	3.513203	84.266667	66.169972	77.266416	3.831923	77.250410	18.917668
오후 4:04:45.569 	27.557664	46.085941	10.166008	4.722588	4.241458	29.124261	46.653293	9.573757	4.030667	3.425722	84.657251	65.723124	76.998153	3.315125	65.518657	31.166219
오후 4:04:46.590 	27.643311	46.087643	10.076715	4.688891	4.205251	29.158894	46.803668	9.486496	3.993926	3.390339	85.197254	66.657931	69.648711	2.673725	67.044445	30.281830
오후 4:04:47.611 	27.762005	46.072651	10.118899	4.707471	4.175492	29.095622	46.922694	9.498920	4.031912	3.379573	84.979253	61.989547	57.930716	1.688667	69.358422	28.952911
오후 4:04:48.613 	27.610820	46.493913	10.070632	4.642387	4.060059	28.541269	47.663225	9.443055	3.974315	3.293262	85.210602	60.539874	57.924235	1.522020	70.247917	28.230063
오후 4:04:49.573 	27.561028	46.289629	10.160018	4.729332	4.083114	28.857904	47.345650	9.568102	4.031907	3.296473	85.269001	60.039943	58.278776	1.448052	70.198253	28.353695
오후 4:04:50.604 	27.816688	46.644756	9.945441	4.569734	3.994757	27.975954	48.324404	9.567169	3.934789	3.035542	85.238624	61.205316	58.123774	1.569128	70.787348	27.643524
오후 4:04:51.592 	28.218166	46.142685	9.925716	4.547581	3.947301	28.323777	48.119122	9.455340	3.853253	2.953626	84.977802	63.854138	57.996632	1.068757	69.285201	29.646043
오후 4:04:52.555 	26.961842	46.911302	10.244132	4.764914	4.089656	26.834792	49.282106	9.912222	4.078746	3.075327	84.598967	65.369513	58.443571	1.315222	69.799767	28.885011
오후 4:04:53.572 	27.861863	45.900825	10.153828	4.756130	4.157918	27.275464	48.822222	9.840442	3.991675	3.121307	84.254465	67.213203	58.012160	1.250835	69.638538	29.110627
오후 4:04:54.562 	27.713553	46.043959	10.239314	4.765491	4.198020	27.424149	48.999719	9.651185	3.966767	3.125666	83.928764	69.802004	58.332752	1.514517	67.277304	31.208178
오후 4:04:55.639 	27.746273	46.101614	10.259810	4.712463	4.196733	27.508497	48.989812	9.681858	3.926112	3.114421	83.657881	71.190479	58.391578	1.812926	64.932165	33.254908
오후 4:04:56.627 	27.321085	46.029905	10.638917	4.700834	4.219851	27.282807	48.979701	9.966028	3.897918	3.124097	83.466920	71.823533	58.863435	2.948515	65.657672	31.393813
오후 4:04:57.612 	28.566289	45.666427	10.102844	4.552744	4.052915	28.785974	48.311422	9.451240	3.771978	2.983405	83.235115	73.050018	59.143322	6.921157	53.606676	39.472167
오후 4:04:58.669 	29.161255	44.766816	10.091143	4.647471	4.023775	29.507056	47.485146	9.408440	3.801643	2.919910	82.736332	76.415483	59.140056	6.630255	54.558344	38.811400
오후 4:04:59.654 	27.454021	46.217500	10.378946	4.545417	4.115024	28.031725	48.829370	9.640833	3.699042	2.967821	82.514102	77.029754	59.373113	12.468630	60.304146	27.227224
