Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 3:44:49.124 	39.394842	40.827792	6.512502	4.664572	4.936364	40.567071	40.266306	6.543730	4.531641	4.525834	78.845727	96.954188	103.108702	4.424929	70.297293	25.277778
오후 3:44:50.068 	38.992629	42.061846	6.027044	4.472935	5.005285	40.397322	41.350090	5.972120	4.332478	4.589795	78.622121	97.782612	106.105975	3.133314	73.024898	23.841788
오후 3:44:51.088 	39.148011	41.980437	5.966546	4.489830	4.965103	40.548567	41.111341	5.932396	4.411808	4.614760	78.415356	97.670945	105.426707	2.747992	73.446187	23.805821
오후 3:44:52.180 	38.646614	42.705260	5.944461	4.317217	4.868924	40.477560	41.174909	6.022039	4.264244	4.517500	78.114219	97.566471	106.130597	2.716853	73.884506	23.398640
오후 3:44:53.603 	40.072315	41.705243	5.879694	4.161064	4.727494	41.915360	40.315924	5.889350	4.102916	4.309739	77.905415	96.862198	106.125673	2.720585	74.224194	23.055222
오후 3:44:54.117 	39.964248	41.744126	5.884439	4.163694	4.708635	41.796479	40.282642	5.886226	4.126075	4.334106	77.554295	95.192200	106.954277	2.107199	73.574743	24.318058
오후 3:44:55.114 	39.670654	42.053931	5.915702	4.129060	4.711499	41.624038	40.515490	5.811423	4.109985	4.332357	77.517561	93.722533	106.337194	2.777424	73.877140	23.345437
오후 3:44:56.105 	39.740325	42.049102	5.855238	4.123619	4.699994	41.573402	40.578576	5.811454	4.104197	4.325415	77.313659	92.946441	107.064193	1.790376	70.991842	27.217781
오후 3:44:57.117 	40.163471	41.896312	5.777623	4.067623	4.648259	42.533046	39.988743	5.713730	4.024158	4.237443	77.311930	91.919714	106.392219	2.306495	69.120108	28.573396
오후 3:44:58.112 	40.604942	41.056837	5.911119	4.152970	4.743594	42.710411	39.496894	5.856217	4.121042	4.296698	77.021569	90.210786	107.021627	2.758474	69.485607	27.755919
