Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:43:18.753 	30.401435	40.360460	11.125503	8.235457	4.111706	30.366034	35.495480	10.513983	10.680392	6.852885	120.372616	31.678054	44.754557	2.472203	37.445399	60.082398
오후 8:43:19.757 	30.463030	40.443932	11.349665	7.982732	4.130910	30.669177	35.405654	10.514534	10.476606	6.846668	120.412125	31.812673	44.926774	2.534484	36.211269	61.254246
오후 8:43:20.739 	29.325837	41.020700	11.657338	8.253533	4.232242	29.476450	35.699463	10.756050	10.879624	7.100574	120.484088	31.721181	44.921875	2.677309	35.155998	62.166693
오후 8:43:21.744 	29.125078	41.013722	11.557749	8.399160	4.291870	29.346274	35.948617	10.554600	10.834697	7.075549	120.754717	31.824091	44.961051	2.772421	33.940336	63.287243
오후 8:43:22.847 	29.115351	39.760699	12.216425	8.714959	4.437723	29.538656	34.732348	10.882342	11.175631	7.258109	120.819234	31.643153	44.726948	2.855349	33.657863	63.486788
오후 8:43:24.040 	29.173926	40.364998	11.856386	8.468599	4.323888	29.589508	35.438953	10.676791	10.870023	7.065022	120.971588	31.127496	44.528405	2.941768	34.038791	63.019441
오후 8:43:26.560 	28.577052	38.990048	12.935803	9.149843	4.653596	28.734913	33.721971	11.665604	11.857014	7.674860	121.319849	30.812819	44.709075	2.923212	34.393836	62.682952
오후 8:43:27.824 	28.548291	38.975566	12.945081	9.152595	4.680457	28.536835	33.662752	11.707839	11.873790	7.725344	121.218853	31.076342	44.793520	2.881465	33.896617	63.221918
오후 8:43:28.214 	28.319227	40.032913	12.631241	8.791543	4.495435	28.931459	34.551404	11.402180	11.420994	7.402455	121.254294	31.061552	45.274844	2.967081	34.115700	62.917220
오후 8:43:28.539 	27.747032	39.661069	12.984222	9.219547	4.701417	28.735014	34.132840	11.633541	11.772608	7.609816	121.192285	31.772117	46.117443	3.954757	36.200464	59.844778
오후 8:43:28.870 	28.462273	39.873643	12.522293	8.824599	4.442095	29.242378	34.795068	11.247547	11.252647	7.285763	121.174580	31.846089	43.808502	4.223435	36.629541	59.147025
오후 8:43:29.802 	28.991750	39.753558	12.395527	8.812284	4.396188	29.574955	34.708148	11.226776	11.223502	7.256301	121.022849	31.893513	43.420852	4.218421	36.626305	59.155274
오후 8:43:30.788 	29.199742	39.735486	12.421023	8.723302	4.386043	29.520827	34.450987	11.483381	11.097102	7.185306	121.292175	26.906248	39.686459	4.288471	36.699024	59.012505
오후 8:43:31.795 	29.127525	40.822251	12.031252	8.410654	4.264578	30.015974	35.185893	11.060301	10.857382	7.122438	121.269013	27.137429	39.800608	4.161198	36.789136	59.049667
오후 8:43:32.828 	30.609742	39.848528	11.634487	8.360099	4.270212	30.571901	35.047468	10.987407	10.654080	7.055640	121.233888	27.164928	39.891025	4.040004	36.807747	59.152249
오후 8:43:33.785 	31.229230	39.383269	11.563084	8.316234	4.226405	31.015892	34.629492	10.949801	10.647448	7.043225	121.194602	27.392858	40.262022	3.298464	37.378657	59.322879
오후 8:43:34.814 	31.526731	39.658750	11.239230	8.154750	4.096268	31.427339	34.906843	10.679877	10.447644	6.834650	121.132075	27.950022	41.817638	3.168895	37.718008	59.113097
오후 8:43:35.785 	31.945684	39.467478	11.077889	8.096690	4.100188	31.818798	34.764252	10.635241	10.352006	6.667315	121.212479	28.054661	42.381819	2.668399	38.188113	59.143487
오후 8:43:36.865 	32.115888	39.340307	10.972788	8.177415	4.025240	32.050848	34.903003	10.667821	10.324452	6.340107	121.212479	27.951851	42.081864	2.427573	39.053639	58.518789
오후 8:43:37.822 	32.165208	39.501624	10.861162	8.146695	4.013124	32.179466	34.989114	10.564852	10.318576	6.324112	121.176731	27.926330	42.250851	4.735298	39.902228	55.362474
