Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:18:12.786 	27.368730	53.589950	9.158446	3.396696	1.932017	32.769233	49.591898	8.457743	2.977211	1.952564	83.068936	104.928101	90.117596	4.821152	39.191105	55.987743
오후 9:18:13.734 	27.471480	53.528913	9.161433	3.412334	1.930084	33.147527	49.319225	8.479286	2.986069	1.958899	83.146878	104.192837	89.635803	4.752065	39.600323	55.647612
오후 9:18:14.743 	27.425970	53.604652	9.130970	3.458899	1.966651	33.136547	49.385970	8.441909	3.012436	1.994482	83.038839	103.830787	89.092192	4.799103	38.852277	56.348620
오후 9:18:15.721 	27.434911	53.586233	9.120739	3.473204	1.977317	33.125801	49.371032	8.432021	3.021062	2.012745	83.044746	103.800347	88.731796	4.704316	39.958576	55.337108
오후 9:18:16.781 	27.375323	53.702224	9.193315	3.477606	1.982668	33.152363	49.472433	8.439402	3.034176	2.020121	82.824071	104.997095	89.277372	4.627162	40.825959	54.546879
오후 9:18:17.833 	27.575331	53.392422	9.179160	3.524722	2.007086	33.507561	48.887217	8.375112	3.114051	2.074630	82.873775	104.694404	89.801847	4.194784	42.124435	53.680780
오후 9:18:18.869 	27.467097	53.462513	9.171845	3.486846	1.986611	33.277722	49.016324	8.404112	3.089927	2.045686	82.871736	105.399309	90.378066	3.670382	41.188781	55.140837
오후 9:18:19.876 	27.547303	53.442765	9.183625	3.462433	1.968878	33.273628	49.120113	8.391293	3.040773	2.039508	83.236994	106.697851	90.541048	2.723232	45.599908	51.676860
오후 9:18:20.843 	27.660677	53.404619	9.163532	3.481187	1.975824	33.548701	48.989580	8.355166	3.054688	2.041508	83.285136	106.813432	90.644611	2.340113	47.414615	50.245273
오후 9:18:21.816 	27.724552	53.377271	9.146863	3.462641	1.964143	33.596069	48.976132	8.338236	3.040766	2.025351	83.376902	106.285607	90.012297	2.118565	49.957053	47.924382
오후 9:18:22.809 	27.559955	53.570788	9.186708	3.477279	1.967129	33.383325	49.258750	8.356731	3.043359	2.024899	83.496412	106.983692	90.363234	1.508435	49.880929	48.610636
오후 9:18:23.790 	27.582805	53.560874	9.190020	3.478778	1.960996	33.526526	49.218171	8.309222	3.040150	2.020557	83.898232	106.890995	89.919579	1.283911	49.326197	49.389892
오후 9:18:24.808 	27.540548	53.553313	9.176682	3.493114	1.972320	33.395377	49.311339	8.294662	3.058612	2.024817	84.146183	106.680807	89.964819	1.284058	50.368007	48.347935
