Time	EEG_Fp1	EEG_Fp2	PPG
오후 9:18:12.750 	-0.000029	-0.000020	0.000367
오후 9:18:12.750 	-0.000036	-0.000020	0.000368
오후 9:18:12.752 	-0.000032	-0.000023	0.000368
오후 9:18:12.752 	-0.000025	-0.000028	0.000369
오후 9:18:12.755 	-0.000017	-0.000026	0.000369
오후 9:18:12.755 	-0.000012	-0.000028	0.000369
오후 9:18:12.766 	-0.000036	-0.000046	0.000369
오후 9:18:12.766 	-0.000025	-0.000030	0.000370
오후 9:18:12.772 	-0.000008	-0.000012	0.000370
오후 9:18:12.772 	-0.000015	-0.000025	0.000370
오후 9:18:12.822 	-0.000025	-0.000029	0.000370
오후 9:18:12.822 	-0.000044	-0.000053	0.000370
오후 9:18:12.823 	-0.000034	-0.000034	0.000371
오후 9:18:12.823 	-0.000038	-0.000027	0.000371
오후 9:18:12.825 	-0.000034	-0.000018	0.000371
오후 9:18:12.825 	-0.000052	-0.000027	0.000371
오후 9:18:12.842 	-0.000034	-0.000020	0.000371
오후 9:18:12.842 	-0.000052	-0.000022	0.000371
오후 9:18:12.843 	-0.000065	-0.000034	0.000371
오후 9:18:12.843 	-0.000044	-0.000041	0.000371
오후 9:18:12.845 	-0.000047	-0.000043	0.000371
오후 9:18:12.845 	-0.000030	-0.000024	0.000372
오후 9:18:12.846 	-0.000037	-0.000028	0.000372
오후 9:18:12.846 	-0.000042	-0.000031	0.000372
오후 9:18:12.847 	-0.000043	-0.000037	0.000372
오후 9:18:12.847 	-0.000031	-0.000029	0.000373
오후 9:18:12.848 	-0.000042	-0.000036	0.000373
오후 9:18:12.848 	-0.000026	-0.000034	0.000373
오후 9:18:12.852 	-0.000017	-0.000025	0.000374
오후 9:18:12.852 	-0.000010	-0.000014	0.000374
오후 9:18:12.869 	-0.000020	-0.000016	0.000375
오후 9:18:12.869 	-0.000040	-0.000034	0.000376
오후 9:18:12.872 	-0.000039	-0.000030	0.000377
오후 9:18:12.872 	-0.000024	-0.000038	0.000378
오후 9:18:12.873 	-0.000028	-0.000017	0.000380
오후 9:18:12.873 	-0.000042	-0.000024	0.000381
오후 9:18:12.875 	-0.000059	-0.000046	0.000384
오후 9:18:12.875 	-0.000029	-0.000040	0.000386
오후 9:18:12.890 	-0.000005	-0.000009	0.000389
오후 9:18:12.890 	-0.000021	-0.000010	0.000393
오후 9:18:12.892 	-0.000034	-0.000014	0.000397
오후 9:18:12.892 	-0.000044	-0.000040	0.000402
오후 9:18:12.894 	-0.000015	-0.000028	0.000408
오후 9:18:12.894 	-0.000022	-0.000030	0.000414
오후 9:18:12.898 	-0.000039	-0.000028	0.000420
오후 9:18:12.898 	-0.000044	-0.000017	0.000426
오후 9:18:12.901 	-0.000034	-0.000017	0.000433
오후 9:18:12.901 	-0.000023	-0.000014	0.000441
오후 9:18:12.914 	-0.000050	-0.000026	0.000447
오후 9:18:12.914 	-0.000056	-0.000030	0.000455
오후 9:18:12.915 	-0.000038	-0.000027	0.000461
오후 9:18:12.915 	-0.000022	-0.000014	0.000468
오후 9:18:12.921 	-0.000038	-0.000035	0.000475
오후 9:18:12.921 	-0.000064	-0.000041	0.000480
오후 9:18:12.932 	-0.000056	-0.000037	0.000486
오후 9:18:12.932 	-0.000020	-0.000026	0.000491
오후 9:18:12.933 	-0.000017	-0.000040	0.000495
오후 9:18:12.933 	-0.000049	-0.000046	0.000499
오후 9:18:12.939 	-0.000050	-0.000047	0.000502
오후 9:18:12.939 	-0.000033	-0.000042	0.000505
오후 9:18:12.951 	-0.000016	-0.000040	0.000507
오후 9:18:12.951 	-0.000046	-0.000063	0.000509
오후 9:18:12.952 	-0.000049	-0.000053	0.000510
오후 9:18:12.952 	-0.000034	-0.000046	0.000511
오후 9:18:12.958 	-0.000030	-0.000034	0.000511
오후 9:18:12.958 	-0.000049	-0.000043	0.000511
오후 9:18:12.970 	-0.000034	-0.000036	0.000510
오후 9:18:12.970 	-0.000043	-0.000029	0.000509
오후 9:18:12.971 	-0.000049	-0.000021	0.000508
오후 9:18:12.971 	-0.000058	-0.000041	0.000507
오후 9:18:12.989 	-0.000037	-0.000038	0.000506
오후 9:18:12.989 	-0.000017	-0.000040	0.000504
오후 9:18:12.990 	-0.000010	-0.000028	0.000502
오후 9:18:12.990 	0.000000	-0.000026	0.000500
오후 9:18:12.998 	-0.000031	-0.000035	0.000498
오후 9:18:12.998 	-0.000034	-0.000021	0.000495
오후 9:18:12.999 	-0.000007	0.000003	0.000493
오후 9:18:12.999 	-0.000025	-0.000002	0.000491
오후 9:18:13.009 	-0.000024	-0.000025	0.000489
오후 9:18:13.009 	-0.000011	-0.000002	0.000486
오후 9:18:13.010 	0.000000	-0.000011	0.000484
오후 9:18:13.010 	0.000004	0.000005	0.000481
오후 9:18:13.017 	-0.000033	-0.000012	0.000479
오후 9:18:13.017 	-0.000006	-0.000009	0.000477
오후 9:18:13.027 	-0.000030	-0.000011	0.000474
오후 9:18:13.027 	-0.000030	-0.000006	0.000472
오후 9:18:13.031 	-0.000034	-0.000018	0.000469
오후 9:18:13.031 	-0.000008	-0.000010	0.000466
오후 9:18:13.046 	0.000003	-0.000012	0.000463
오후 9:18:13.046 	-0.000004	-0.000009	0.000460
오후 9:18:13.050 	-0.000003	0.000002	0.000456
오후 9:18:13.050 	-0.000014	-0.000004	0.000453
오후 9:18:13.051 	-0.000006	-0.000004	0.000449
오후 9:18:13.051 	0.000000	0.000006	0.000444
오후 9:18:13.064 	0.000004	0.000019	0.000440
오후 9:18:13.064 	-0.000032	-0.000001	0.000436
오후 9:18:13.071 	-0.000003	-0.000006	0.000431
오후 9:18:13.071 	0.000001	-0.000008	0.000426
오후 9:18:13.072 	0.000017	0.000010	0.000422
오후 9:18:13.072 	0.000004	0.000021	0.000417
오후 9:18:13.082 	-0.000011	-0.000000	0.000413
오후 9:18:13.082 	0.000005	-0.000008	0.000408
오후 9:18:13.091 	0.000019	0.000013	0.000404
오후 9:18:13.091 	-0.000001	0.000009	0.000401
오후 9:18:13.100 	-0.000006	-0.000011	0.000397
오후 9:18:13.100 	-0.000008	-0.000021	0.000393
오후 9:18:13.102 	-0.000024	-0.000015	0.000390
오후 9:18:13.102 	-0.000008	-0.000008	0.000387
오후 9:18:13.110 	-0.000029	-0.000008	0.000385
오후 9:18:13.110 	-0.000004	-0.000006	0.000383
오후 9:18:13.120 	-0.000010	-0.000010	0.000380
오후 9:18:13.120 	-0.000013	-0.000006	0.000379
오후 9:18:13.128 	-0.000016	-0.000009	0.000377
오후 9:18:13.128 	-0.000017	-0.000006	0.000376
오후 9:18:13.129 	-0.000007	0.000011	0.000375
오후 9:18:13.129 	0.000000	0.000011	0.000374
오후 9:18:13.139 	0.000011	0.000006	0.000373
오후 9:18:13.139 	0.000005	0.000009	0.000372
오후 9:18:13.144 	0.000002	-0.000012	0.000372
오후 9:18:13.144 	0.000008	-0.000013	0.000371
오후 9:18:13.153 	-0.000009	-0.000008	0.000371
오후 9:18:13.153 	-0.000010	0.000004	0.000371
오후 9:18:13.161 	0.000017	0.000001	0.000370
오후 9:18:13.161 	-0.000000	-0.000009	0.000370
오후 9:18:13.167 	0.000000	-0.000003	0.000369
오후 9:18:13.167 	-0.000013	-0.000030	0.000369
오후 9:18:13.176 	-0.000008	-0.000018	0.000368
오후 9:18:13.176 	-0.000021	-0.000005	0.000368
오후 9:18:13.188 	-0.000003	0.000006	0.000367
오후 9:18:13.188 	-0.000017	-0.000000	0.000367
오후 9:18:13.189 	-0.000012	-0.000016	0.000367
오후 9:18:13.189 	-0.000017	-0.000017	0.000366
오후 9:18:13.191 	-0.000011	-0.000010	0.000365
오후 9:18:13.191 	-0.000001	-0.000010	0.000364
오후 9:18:13.208 	-0.000026	-0.000008	0.000364
오후 9:18:13.208 	-0.000021	-0.000004	0.000363
오후 9:18:13.209 	-0.000005	-0.000008	0.000362
오후 9:18:13.209 	0.000006	-0.000011	0.000361
오후 9:18:13.212 	-0.000008	-0.000015	0.000360
오후 9:18:13.212 	-0.000017	-0.000008	0.000359
오후 9:18:13.223 	-0.000020	-0.000005	0.000358
오후 9:18:13.223 	-0.000014	-0.000013	0.000357
오후 9:18:13.231 	-0.000000	-0.000018	0.000356
오후 9:18:13.231 	-0.000002	-0.000012	0.000355
오후 9:18:13.242 	-0.000005	0.000005	0.000354
오후 9:18:13.242 	-0.000001	-0.000008	0.000353
오후 9:18:13.247 	-0.000004	-0.000004	0.000352
오후 9:18:13.247 	0.000000	-0.000000	0.000351
오후 9:18:13.265 	0.000001	0.000008	0.000350
오후 9:18:13.265 	-0.000008	0.000004	0.000349
오후 9:18:13.267 	-0.000020	-0.000002	0.000348
오후 9:18:13.267 	-0.000039	-0.000002	0.000347
오후 9:18:13.268 	-0.000029	-0.000002	0.000346
오후 9:18:13.268 	-0.000014	0.000007	0.000346
오후 9:18:13.276 	-0.000004	0.000008	0.000345
오후 9:18:13.276 	0.000010	0.000002	0.000345
오후 9:18:13.276 	0.000003	-0.000008	0.000344
