Time	EEG_Fp1	EEG_Fp2	PPG
오후 9:41:14.102 	-0.000012	-0.000030	0.000356
오후 9:41:14.102 	0.000004	-0.000007	0.000356
오후 9:41:14.104 	-0.000010	-0.000030	0.000356
오후 9:41:14.104 	-0.000015	-0.000016	0.000356
오후 9:41:14.106 	-0.000003	-0.000013	0.000356
오후 9:41:14.106 	0.000023	0.000002	0.000356
오후 9:41:14.108 	0.000022	-0.000015	0.000356
오후 9:41:14.108 	0.000021	0.000013	0.000357
오후 9:41:14.118 	0.000018	-0.000007	0.000357
오후 9:41:14.118 	-0.000004	-0.000010	0.000357
오후 9:41:14.120 	-0.000001	0.000001	0.000358
오후 9:41:14.120 	-0.000001	-0.000022	0.000358
오후 9:41:14.122 	-0.000001	-0.000030	0.000358
오후 9:41:14.122 	0.000014	-0.000024	0.000359
오후 9:41:14.124 	-0.000001	-0.000001	0.000359
오후 9:41:14.124 	-0.000002	-0.000023	0.000359
오후 9:41:14.139 	0.000001	-0.000017	0.000359
오후 9:41:14.139 	-0.000004	-0.000023	0.000359
오후 9:41:14.141 	-0.000006	-0.000030	0.000360
오후 9:41:14.141 	0.000011	-0.000029	0.000360
오후 9:41:14.160 	0.000017	-0.000036	0.000360
오후 9:41:14.160 	0.000021	-0.000055	0.000361
오후 9:41:14.162 	-0.000002	-0.000040	0.000361
오후 9:41:14.162 	-0.000026	-0.000042	0.000361
오후 9:41:14.165 	-0.000027	-0.000032	0.000362
오후 9:41:14.165 	-0.000023	-0.000052	0.000362
오후 9:41:14.175 	-0.000015	-0.000050	0.000362
오후 9:41:14.175 	0.000004	-0.000004	0.000363
오후 9:41:14.181 	-0.000013	-0.000026	0.000363
오후 9:41:14.181 	-0.000019	-0.000040	0.000363
오후 9:41:14.195 	-0.000041	-0.000035	0.000363
오후 9:41:14.195 	-0.000019	-0.000034	0.000364
오후 9:41:14.196 	-0.000009	-0.000038	0.000364
오후 9:41:14.196 	0.000025	-0.000009	0.000364
오후 9:41:14.211 	0.000026	-0.000004	0.000365
오후 9:41:14.211 	0.000033	-0.000012	0.000365
오후 9:41:14.213 	0.000035	-0.000010	0.000366
오후 9:41:14.213 	0.000027	-0.000034	0.000366
오후 9:41:14.220 	-0.000015	-0.000068	0.000366
오후 9:41:14.220 	-0.000020	-0.000067	0.000367
오후 9:41:14.230 	0.000044	-0.000021	0.000367
오후 9:41:14.230 	0.000056	-0.000012	0.000367
오후 9:41:14.236 	0.000033	-0.000032	0.000368
오후 9:41:14.236 	0.000027	-0.000014	0.000369
