Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:41:14.727 	27.591526	47.484034	12.711059	4.718403	2.700749	31.896351	47.894955	10.556406	3.293153	1.978044	81.275500	99.130525	66.660054	22.314260	52.412705	25.273035
오후 9:41:15.816 	27.784752	47.507114	12.664226	4.544605	2.622363	31.734380	48.182386	10.695893	3.185463	1.905562	80.989876	97.503033	67.221005	22.361338	52.329360	25.309302
오후 9:41:16.762 	27.907841	47.370086	12.687604	4.522486	2.627957	31.922450	47.971485	10.654966	3.200676	1.902454	80.971076	96.177385	66.966084	22.379855	51.761107	25.859038
오후 9:41:17.800 	27.864354	47.214319	12.715949	4.581206	2.621986	31.432143	47.849133	10.697949	3.336526	1.924829	80.752629	95.311039	67.498674	21.940077	51.243802	26.816121
오후 9:41:19.101 	27.840042	47.674511	12.577653	4.482199	2.522981	30.681593	49.118068	10.753970	3.156202	1.819276	80.418848	94.741119	67.898574	20.774786	50.892105	28.333109
오후 9:41:19.782 	27.782343	47.817744	12.628747	4.494977	2.531263	30.725565	49.040298	10.791725	3.171703	1.794397	80.247474	93.522244	67.435347	19.970511	51.934010	28.095479
오후 9:41:20.759 	27.464419	48.215648	12.663930	4.486780	2.527873	30.387694	49.298293	10.833039	3.168379	1.782115	80.093310	92.382823	67.337224	19.868783	51.739657	28.391560
오후 9:41:21.786 	25.549415	47.265810	13.678331	5.094430	2.917406	28.801450	48.927497	11.555865	3.589817	2.015754	80.124653	91.133004	67.251956	21.052931	50.532568	28.414501
오후 9:41:22.754 	25.437759	47.578477	13.694165	5.047478	2.904912	28.612254	49.473480	11.591251	3.507130	1.979029	80.102946	90.844142	67.169807	21.849719	48.758452	29.391828
오후 9:41:23.758 	25.620968	47.173414	13.678585	5.187333	2.999312	29.290926	48.645319	11.463839	3.676270	2.090505	80.135511	91.206505	67.225082	23.240661	49.049156	27.710184
