Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 4:45:37.133 	43.815810	38.486405	5.188904	4.482323	4.735446	44.545119	39.468749	4.947002	3.821898	4.391964	76.148048	88.941631	114.379702	1.338576	74.476043	24.185381
오후 4:45:38.174 	43.424002	39.341974	5.208868	4.336364	4.544113	43.857746	40.397434	4.935068	3.724342	4.261288	76.153219	88.908756	114.432496	1.288668	73.960492	24.750840
오후 4:45:39.113 	42.860484	39.267339	5.383679	4.553646	4.685735	43.150867	40.618070	5.087458	3.905982	4.379903	76.251615	88.321154	114.516730	1.687271	70.470277	27.842452
오후 4:45:40.336 	43.006488	39.577028	5.233340	4.422478	4.592072	43.429244	40.789162	4.947287	3.764269	4.265707	76.282740	87.995139	114.678546	2.188705	72.152987	25.658309
오후 4:45:41.537 	42.441686	39.614375	5.437944	4.482450	4.688804	42.771458	40.871246	5.164584	3.877849	4.370497	76.333517	88.718948	115.449815	1.764022	71.521944	26.714034
오후 4:45:42.128 	42.451562	39.684363	5.409206	4.462135	4.669455	42.624190	41.150201	5.142466	3.838002	4.335691	76.484759	91.546591	118.164449	1.851847	71.426257	26.721896
오후 4:45:43.143 	42.960156	39.443778	5.359596	4.372953	4.599431	43.163839	40.827223	5.106934	3.773424	4.285471	76.080879	90.216997	115.318024	2.539732	69.442506	28.017762
오후 4:45:44.103 	42.848828	39.346343	5.367245	4.426528	4.640798	43.165601	40.675998	5.106773	3.805655	4.314748	76.008677	90.970706	115.295968	2.843072	68.975521	28.181407
오후 4:45:45.107 	42.104590	39.641484	5.509792	4.501058	4.706768	42.480227	40.991804	5.238356	3.855039	4.346634	76.070556	90.494214	115.516332	5.049901	66.715278	28.234822
오후 4:45:46.094 	42.129120	39.700789	5.575697	4.497744	4.656534	42.468852	41.097471	5.277109	3.839134	4.307478	76.132537	90.320812	115.472293	5.247413	66.600614	28.151973
오후 4:45:47.140 	42.648780	38.925547	5.448530	4.511094	4.688397	43.178111	40.220059	5.178074	3.839822	4.253532	76.407496	89.028544	115.215983	5.091543	66.731909	28.176548
오후 4:45:48.140 	44.308842	36.992267	5.626194	4.596948	4.714099	44.428776	38.742620	5.403464	3.894197	4.220333	76.815571	92.782805	110.058940	3.624894	68.891855	27.483251
오후 4:45:49.114 	44.583413	36.926402	5.492129	4.577759	4.797554	44.645427	38.825174	5.227956	3.856143	4.282711	76.267175	84.632261	104.549468	1.809681	72.095472	26.094847
오후 4:45:50.139 	45.073695	36.086613	5.518190	4.557773	4.781738	44.770851	38.031227	5.477618	3.913384	4.256593	76.500202	84.270467	103.848016	2.122927	73.304322	24.572751
오후 4:45:51.112 	44.498696	36.652527	5.337248	4.576991	4.798972	43.774380	38.675076	5.367076	4.001739	4.295685	76.665318	84.156694	103.835939	2.041209	73.781673	24.177118
오후 4:45:52.189 	45.394199	36.413933	5.194007	4.536180	4.809560	45.460641	38.285261	5.040679	3.825973	4.224908	76.902537	84.001764	97.088723	1.304057	73.977500	24.718443
오후 4:45:53.190 	45.640828	36.487615	5.258657	4.539223	4.630068	45.564752	38.540059	4.987437	3.749594	3.991522	76.902537	83.682044	94.386782	1.410777	73.681321	24.907903
오후 4:45:54.198 	44.658956	37.107052	5.300960	4.571287	4.648724	44.677906	39.106586	5.072916	3.750022	3.976806	76.464178	79.245899	92.701805	1.598717	73.705561	24.695722
오후 4:45:55.133 	44.653351	37.161105	5.314456	4.533340	4.621184	44.715303	39.146494	5.068152	3.704797	3.950061	76.148048	78.943948	93.437522	1.526116	73.767160	24.706724
오후 4:45:56.164 	44.463249	37.426620	5.303242	4.448497	4.506944	44.421379	39.474092	5.053260	3.616576	3.846854	75.982923	78.691714	93.292249	0.826889	75.483730	23.689381
오후 4:45:57.220 	44.692283	36.918821	5.554435	4.563313	4.536371	44.967815	38.772222	5.300667	3.717777	3.864954	75.907573	78.120806	92.717587	1.240156	73.483048	25.276796
오후 4:45:58.196 	45.707089	36.444190	5.225533	4.416559	4.461823	46.346508	37.995234	4.987907	3.531978	3.746687	75.741691	78.536133	93.446594	1.287166	73.399608	25.313226
오후 4:45:59.176 	45.890524	36.440384	5.184487	4.422221	4.435253	46.483801	38.071390	4.931065	3.525773	3.684888	75.557951	79.016398	93.608608	2.418099	72.705274	24.876627
오후 4:46:00.168 	45.712843	36.613780	5.092931	4.445403	4.437038	46.306960	38.281930	4.868597	3.528351	3.633547	75.435953	78.858401	93.781643	2.606840	72.469335	24.923825
오후 4:46:01.172 	45.842940	36.697559	5.055519	4.368078	4.372480	46.422667	38.342454	4.840075	3.464822	3.567409	75.181509	79.474045	94.226753	2.671887	72.300989	25.027124
오후 4:46:02.191 	45.876414	36.473365	5.085405	4.405406	4.400228	46.548304	38.073698	4.839826	3.487716	3.579299	75.048860	80.834401	94.308826	1.974780	72.707286	25.317934
오후 4:46:03.190 	46.124672	35.803470	5.028678	4.483784	4.482810	46.802025	37.679440	4.754155	3.499303	3.583574	74.850761	82.736732	94.157163	1.259329	73.822957	24.917715
오후 4:46:04.171 	46.265778	36.177420	4.928508	4.291713	4.262277	46.825060	37.953034	4.729438	3.328873	3.325896	74.790018	83.286881	94.339585	1.195380	73.969968	24.834651
오후 4:46:05.173 	46.348066	36.300050	4.942956	4.355547	4.221297	47.197584	37.968700	4.702899	3.325447	3.248696	74.227801	80.784738	80.005966	1.060820	73.935086	25.004094
오후 4:46:06.192 	45.735861	36.742921	5.038116	4.369333	4.053504	46.594189	38.295063	4.815113	3.316632	3.104826	74.449240	84.110141	83.282455	1.379566	72.941988	25.678446
오후 4:46:07.196 	45.464365	36.930950	5.193513	4.269337	3.954613	46.252062	38.358902	5.035006	3.351272	3.039906	74.063756	81.913416	80.042221	1.413393	72.764670	25.821937
오후 4:46:08.206 	46.536992	36.448436	5.070636	4.122921	3.903288	47.206843	38.172686	4.837956	3.120911	3.036251	73.880687	82.479753	79.993877	1.619899	72.892484	25.487617
오후 4:46:09.181 	46.864170	35.772414	5.089103	4.143041	3.845829	47.358641	37.792754	4.856639	3.058407	3.022509	73.811168	83.176935	80.464416	2.563588	72.862885	24.573527
오후 4:46:10.217 	47.664117	35.273703	5.086070	3.966104	3.730966	48.432814	36.991891	4.859320	2.900284	2.859490	73.781206	83.394575	80.399372	2.994296	72.931949	24.073755
오후 4:46:11.185 	47.746480	35.508638	5.012672	3.851960	3.664978	48.466707	37.292665	4.765290	2.822544	2.794124	73.741294	83.869170	80.425125	4.462408	69.331009	26.206583
오후 4:46:12.223 	49.000176	34.279946	5.017868	3.885841	3.667799	49.832812	35.975564	4.763752	2.827149	2.804763	73.706407	84.108165	80.526700	5.067994	68.551047	26.380959
오후 4:46:13.228 	48.822399	35.204300	4.998900	3.689024	3.508735	49.373362	37.008326	4.792139	2.767534	2.573093	73.691466	84.233130	80.526700	8.971132	63.427239	27.601629
오후 4:46:14.232 	48.979922	35.308050	4.954738	3.629756	3.346721	49.261669	37.214741	4.819159	2.738887	2.511978	73.601944	85.363831	68.522605	11.008927	61.499478	27.491595
오후 4:46:15.239 	49.304014	35.122473	4.932907	3.578308	3.276174	49.740952	36.920188	4.758115	2.682423	2.470675	72.849699	79.914352	61.974633	11.466138	61.409945	27.123917
