Time	EEG_Fp1	EEG_Fp2	PPG
오후 4:45:36.678 	-0.000018	0.000008	0.000953
오후 4:45:36.678 	0.000008	0.000025	0.000955
오후 4:45:36.683 	0.000047	0.000030	0.000956
오후 4:45:36.683 	0.000061	0.000041	0.000958
오후 4:45:36.698 	0.000039	0.000050	0.000959
오후 4:45:36.698 	0.000043	0.000042	0.000960
오후 4:45:36.702 	0.000034	0.000028	0.000961
오후 4:45:36.702 	0.000013	0.000038	0.000961
오후 4:45:36.711 	-0.000009	0.000020	0.000962
오후 4:45:36.711 	0.000019	0.000021	0.000962
오후 4:45:36.719 	-0.000011	-0.000002	0.000962
오후 4:45:36.719 	-0.000003	0.000006	0.000962
오후 4:45:36.732 	0.000036	0.000058	0.000962
오후 4:45:36.732 	0.000039	0.000077	0.000962
오후 4:45:36.734 	0.000056	0.000087	0.000961
오후 4:45:36.734 	0.000047	0.000101	0.000961
오후 4:45:36.755 	0.000049	0.000102	0.000960
오후 4:45:36.755 	0.000038	0.000107	0.000960
오후 4:45:36.756 	0.000080	0.000149	0.000959
오후 4:45:36.756 	0.000086	0.000136	0.000958
오후 4:45:36.758 	0.000114	0.000188	0.000958
오후 4:45:36.758 	0.000102	0.000198	0.000957
오후 4:45:36.768 	0.000098	0.000192	0.000956
오후 4:45:36.768 	0.000079	0.000186	0.000955
오후 4:45:36.776 	0.000048	0.000173	0.000954
오후 4:45:36.776 	0.000040	0.000156	0.000954
오후 4:45:36.782 	0.000046	0.000132	0.000953
오후 4:45:36.782 	0.000049	0.000140	0.000952
오후 4:45:36.790 	0.000008	0.000127	0.000951
오후 4:45:36.790 	-0.000011	0.000128	0.000950
오후 4:45:36.804 	-0.000043	0.000080	0.000950
오후 4:45:36.804 	-0.000016	0.000095	0.000949
오후 4:45:36.806 	-0.000013	0.000102	0.000948
오후 4:45:36.806 	-0.000021	0.000087	0.000947
오후 4:45:36.809 	-0.000052	0.000072	0.000946
오후 4:45:36.809 	-0.000025	0.000098	0.000945
오후 4:45:36.813 	-0.000010	0.000095	0.000945
오후 4:45:36.813 	-0.000030	0.000075	0.000944
오후 4:45:36.824 	-0.000064	0.000055	0.000943
오후 4:45:36.824 	-0.000049	0.000072	0.000942
오후 4:45:36.826 	-0.000037	0.000065	0.000941
오후 4:45:36.826 	-0.000043	0.000051	0.000941
오후 4:45:36.836 	-0.000065	0.000028	0.000940
오후 4:45:36.836 	-0.000055	0.000007	0.000939
오후 4:45:36.844 	-0.000038	0.000047	0.000938
오후 4:45:36.844 	-0.000044	0.000056	0.000937
오후 4:45:36.857 	-0.000059	0.000041	0.000937
오후 4:45:36.857 	-0.000055	0.000034	0.000936
오후 4:45:36.861 	-0.000038	0.000042	0.000936
오후 4:45:36.861 	-0.000059	0.000028	0.000935
오후 4:45:36.871 	-0.000055	0.000015	0.000935
오후 4:45:36.871 	-0.000072	-0.000004	0.000934
오후 4:45:36.879 	-0.000060	0.000016	0.000934
오후 4:45:36.879 	-0.000067	0.000017	0.000933
오후 4:45:36.884 	-0.000076	-0.000001	0.000933
오후 4:45:36.884 	-0.000093	-0.000011	0.000933
오후 4:45:36.892 	-0.000058	0.000014	0.000933
오후 4:45:36.892 	-0.000052	0.000016	0.000932
오후 4:45:36.893 	-0.000052	0.000003	0.000932
오후 4:45:36.893 	-0.000060	0.000028	0.000932
오후 4:45:36.907 	-0.000063	0.000029	0.000932
오후 4:45:36.907 	-0.000053	0.000031	0.000932
오후 4:45:36.911 	-0.000049	0.000028	0.000932
오후 4:45:36.911 	-0.000056	0.000014	0.000932
오후 4:45:36.928 	-0.000050	0.000007	0.000932
오후 4:45:36.928 	-0.000035	0.000020	0.000932
오후 4:45:36.930 	-0.000041	0.000026	0.000932
오후 4:45:36.930 	-0.000050	0.000017	0.000932
오후 4:45:36.935 	-0.000062	-0.000008	0.000932
오후 4:45:36.935 	-0.000037	0.000012	0.000932
오후 4:45:36.948 	-0.000021	0.000022	0.000932
