Time	EEG_Fp1	EEG_Fp2	PPG
오후 9:11:29.036 	0.000104	0.000121	0.000340
오후 9:11:29.036 	0.000086	0.000094	0.000339
오후 9:11:29.042 	0.000026	0.000028	0.000339
오후 9:11:29.042 	0.000034	0.000049	0.000338
오후 9:11:29.043 	0.000027	0.000054	0.000338
오후 9:11:29.043 	0.000042	0.000047	0.000338
오후 9:11:29.044 	0.000002	0.000010	0.000337
오후 9:11:29.044 	0.000003	0.000003	0.000337
오후 9:11:29.055 	0.000004	0.000017	0.000337
오후 9:11:29.055 	0.000005	0.000027	0.000337
오후 9:11:29.056 	-0.000022	-0.000015	0.000337
오후 9:11:29.056 	-0.000009	-0.000016	0.000337
오후 9:11:29.071 	-0.000006	-0.000007	0.000338
오후 9:11:29.071 	0.000008	0.000007	0.000338
오후 9:11:29.077 	0.000017	-0.000002	0.000338
오후 9:11:29.077 	-0.000019	-0.000036	0.000338
오후 9:11:29.078 	-0.000010	-0.000026	0.000338
오후 9:11:29.078 	0.000001	-0.000007	0.000339
오후 9:11:29.089 	-0.000020	-0.000036	0.000339
오후 9:11:29.089 	-0.000047	-0.000055	0.000340
오후 9:11:29.091 	-0.000034	-0.000053	0.000341
오후 9:11:29.091 	-0.000021	-0.000041	0.000341
오후 9:11:29.092 	-0.000025	-0.000045	0.000342
오후 9:11:29.092 	-0.000034	-0.000068	0.000342
오후 9:11:29.108 	-0.000041	-0.000077	0.000343
오후 9:11:29.108 	-0.000023	-0.000051	0.000343
오후 9:11:29.109 	-0.000016	-0.000039	0.000344
오후 9:11:29.109 	-0.000038	-0.000058	0.000345
오후 9:11:29.111 	-0.000056	-0.000076	0.000346
오후 9:11:29.111 	-0.000042	-0.000046	0.000346
오후 9:11:29.127 	-0.000037	-0.000043	0.000346
오후 9:11:29.127 	-0.000047	-0.000066	0.000347
오후 9:11:29.128 	-0.000073	-0.000080	0.000348
오후 9:11:29.128 	-0.000063	-0.000057	0.000348
오후 9:11:29.146 	-0.000057	-0.000053	0.000349
오후 9:11:29.146 	-0.000061	-0.000070	0.000350
오후 9:11:29.147 	-0.000073	-0.000084	0.000350
오후 9:11:29.147 	-0.000044	-0.000064	0.000351
오후 9:11:29.148 	-0.000046	-0.000055	0.000351
오후 9:11:29.148 	-0.000046	-0.000043	0.000352
오후 9:11:29.153 	-0.000079	-0.000080	0.000352
오후 9:11:29.153 	-0.000077	-0.000072	0.000353
오후 9:11:29.166 	-0.000057	-0.000040	0.000354
오후 9:11:29.166 	-0.000047	-0.000040	0.000354
오후 9:11:29.168 	-0.000055	-0.000063	0.000354
오후 9:11:29.168 	-0.000045	-0.000069	0.000355
오후 9:11:29.172 	-0.000041	-0.000037	0.000356
오후 9:11:29.172 	-0.000033	-0.000030	0.000356
오후 9:11:29.173 	-0.000046	-0.000048	0.000357
오후 9:11:29.173 	-0.000068	-0.000075	0.000358
오후 9:11:29.187 	-0.000058	-0.000059	0.000358
오후 9:11:29.187 	-0.000017	-0.000014	0.000359
오후 9:11:29.188 	-0.000043	-0.000052	0.000359
오후 9:11:29.188 	-0.000048	-0.000061	0.000360
오후 9:11:29.188 	-0.000059	-0.000071	0.000361
오후 9:11:29.188 	-0.000041	-0.000051	0.000362
오후 9:11:29.204 	-0.000034	-0.000052	0.000363
오후 9:11:29.204 	-0.000055	-0.000070	0.000364
오후 9:11:29.206 	-0.000065	-0.000078	0.000366
오후 9:11:29.206 	-0.000033	-0.000046	0.000367
오후 9:11:29.207 	-0.000030	-0.000039	0.000370
오후 9:11:29.207 	-0.000038	-0.000063	0.000372
오후 9:11:29.208 	-0.000058	-0.000071	0.000376
오후 9:11:29.208 	-0.000026	-0.000033	0.000379
오후 9:11:29.223 	-0.000027	-0.000022	0.000383
오후 9:11:29.223 	-0.000041	-0.000046	0.000388
오후 9:11:29.228 	-0.000089	-0.000067	0.000393
오후 9:11:29.228 	-0.000075	-0.000066	0.000400
오후 9:11:29.229 	-0.000053	-0.000039	0.000406
오후 9:11:29.229 	-0.000046	-0.000037	0.000413
오후 9:11:29.241 	-0.000051	-0.000065	0.000421
오후 9:11:29.241 	-0.000062	-0.000067	0.000429
오후 9:11:29.243 	-0.000062	-0.000054	0.000437
오후 9:11:29.243 	-0.000071	-0.000049	0.000446
오후 9:11:29.290 	-0.000069	-0.000053	0.000454
오후 9:11:29.290 	-0.000065	-0.000057	0.000462
오후 9:11:29.292 	-0.000056	-0.000030	0.000471
오후 9:11:29.292 	-0.000052	-0.000028	0.000478
오후 9:11:29.293 	-0.000053	-0.000056	0.000485
오후 9:11:29.293 	-0.000070	-0.000069	0.000492
오후 9:11:29.294 	-0.000058	-0.000038	0.000498
오후 9:11:29.294 	-0.000035	-0.000021	0.000503
오후 9:11:29.295 	-0.000046	-0.000028	0.000508
오후 9:11:29.295 	-0.000054	-0.000051	0.000512
오후 9:11:29.296 	-0.000051	-0.000040	0.000515
오후 9:11:29.296 	-0.000038	-0.000013	0.000518
오후 9:11:29.299 	-0.000043	-0.000030	0.000521
오후 9:11:29.299 	-0.000063	-0.000057	0.000522
오후 9:11:29.300 	-0.000050	-0.000050	0.000523
오후 9:11:29.300 	-0.000021	-0.000013	0.000524
오후 9:11:29.305 	-0.000029	-0.000028	0.000524
오후 9:11:29.305 	-0.000047	-0.000048	0.000524
오후 9:11:29.312 	-0.000055	-0.000046	0.000523
오후 9:11:29.312 	-0.000031	-0.000027	0.000523
오후 9:11:29.313 	-0.000017	-0.000012	0.000521
오후 9:11:29.313 	-0.000037	-0.000044	0.000520
오후 9:11:29.324 	-0.000025	-0.000034	0.000518
오후 9:11:29.324 	-0.000030	-0.000031	0.000516
오후 9:11:29.326 	-0.000027	-0.000011	0.000514
오후 9:11:29.326 	-0.000042	-0.000039	0.000512
오후 9:11:29.332 	-0.000050	-0.000048	0.000509
오후 9:11:29.332 	-0.000052	-0.000047	0.000507
오후 9:11:29.348 	-0.000021	-0.000017	0.000504
오후 9:11:29.348 	-0.000009	-0.000020	0.000502
오후 9:11:29.350 	-0.000044	-0.000038	0.000499
오후 9:11:29.350 	-0.000029	-0.000032	0.000496
오후 9:11:29.357 	-0.000024	-0.000013	0.000493
오후 9:11:29.357 	-0.000016	-0.000017	0.000490
오후 9:11:29.369 	-0.000053	-0.000053	0.000487
오후 9:11:29.369 	-0.000046	-0.000051	0.000484
오후 9:11:29.371 	-0.000037	-0.000030	0.000481
오후 9:11:29.371 	-0.000020	-0.000005	0.000478
오후 9:11:29.378 	-0.000028	-0.000040	0.000474
오후 9:11:29.378 	-0.000047	-0.000044	0.000471
오후 9:11:29.389 	-0.000030	-0.000030	0.000468
오후 9:11:29.389 	-0.000014	-0.000004	0.000464
오후 9:11:29.396 	-0.000016	-0.000022	0.000460
오후 9:11:29.396 	-0.000034	-0.000037	0.000455
오후 9:11:29.409 	-0.000023	-0.000016	0.000451
오후 9:11:29.409 	-0.000021	-0.000008	0.000447
오후 9:11:29.411 	-0.000001	-0.000012	0.000442
오후 9:11:29.411 	-0.000039	-0.000027	0.000437
오후 9:11:29.443 	-0.000027	-0.000012	0.000432
오후 9:11:29.443 	-0.000033	0.000001	0.000427
오후 9:11:29.474 	-0.000015	0.000010	0.000422
오후 9:11:29.474 	-0.000030	-0.000033	0.000417
오후 9:11:29.483 	-0.000017	-0.000021	0.000413
오후 9:11:29.483 	-0.000035	-0.000025	0.000408
오후 9:11:29.496 	-0.000012	-0.000003	0.000404
오후 9:11:29.496 	-0.000024	-0.000016	0.000399
오후 9:11:29.502 	-0.000038	-0.000044	0.000395
오후 9:11:29.502 	-0.000035	-0.000017	0.000392
오후 9:11:29.518 	-0.000013	0.000004	0.000388
오후 9:11:29.518 	-0.000006	-0.000008	0.000385
오후 9:11:29.523 	-0.000029	-0.000014	0.000382
오후 9:11:29.523 	-0.000022	-0.000019	0.000380
오후 9:11:29.533 	-0.000027	-0.000008	0.000377
오후 9:11:29.533 	-0.000017	-0.000010	0.000375
오후 9:11:29.541 	-0.000045	-0.000029	0.000373
오후 9:11:29.541 	-0.000059	-0.000038	0.000371
오후 9:11:29.552 	-0.000053	-0.000028	0.000370
오후 9:11:29.552 	-0.000001	-0.000012	0.000369
오후 9:11:29.558 	-0.000017	-0.000004	0.000368
오후 9:11:29.558 	-0.000015	-0.000003	0.000367
오후 9:11:29.572 	-0.000013	-0.000005	0.000367
오후 9:11:29.572 	0.000032	0.000021	0.000366
오후 9:11:29.575 	-0.000000	-0.000006	0.000365
오후 9:11:29.575 	-0.000029	-0.000013	0.000364
오후 9:11:29.576 	-0.000009	0.000002	0.000364
오후 9:11:29.576 	-0.000018	-0.000010	0.000363
오후 9:11:29.594 	-0.000024	-0.000019	0.000363
오후 9:11:29.594 	-0.000046	-0.000031	0.000363
오후 9:11:29.596 	-0.000024	-0.000012	0.000362
오후 9:11:29.596 	-0.000014	0.000003	0.000362
오후 9:11:29.602 	-0.000014	-0.000019	0.000361
오후 9:11:29.602 	-0.000047	-0.000043	0.000361
오후 9:11:29.613 	-0.000038	-0.000036	0.000360
오후 9:11:29.613 	-0.000016	-0.000009	0.000360
오후 9:11:29.620 	-0.000009	-0.000018	0.000359
오후 9:11:29.620 	-0.000016	-0.000038	0.000359
오후 9:11:29.631 	-0.000007	-0.000021	0.000358
오후 9:11:29.631 	-0.000007	-0.000016	0.000357
오후 9:11:29.644 	0.000002	-0.000012	0.000356
오후 9:11:29.644 	0.000018	-0.000017	0.000355
오후 9:11:29.650 	-0.000006	-0.000034	0.000354
오후 9:11:29.650 	-0.000015	-0.000034	0.000354
오후 9:11:29.652 	0.000004	0.000004	0.000352
오후 9:11:29.652 	-0.000007	-0.000021	0.000351
오후 9:11:29.663 	-0.000008	-0.000053	0.000350
오후 9:11:29.663 	-0.000011	-0.000038	0.000350
오후 9:11:29.669 	-0.000011	-0.000011	0.000348
오후 9:11:29.669 	-0.000007	-0.000025	0.000347
오후 9:11:29.671 	-0.000026	-0.000048	0.000346
오후 9:11:29.671 	-0.000023	-0.000032	0.000345
오후 9:11:29.683 	0.000004	-0.000010	0.000344
오후 9:11:29.683 	0.000008	-0.000027	0.000342
오후 9:11:29.692 	-0.000015	-0.000046	0.000342
오후 9:11:29.692 	-0.000019	-0.000046	0.000340
오후 9:11:29.758 	-0.000002	-0.000022	0.000339
오후 9:11:29.758 	0.000019	-0.000006	0.000338
오후 9:11:29.779 	0.000004	-0.000026	0.000338
오후 9:11:29.779 	-0.000008	-0.000029	0.000337
오후 9:11:29.781 	-0.000011	-0.000020	0.000336
오후 9:11:29.781 	0.000009	0.000003	0.000335
오후 9:11:29.782 	0.000008	0.000006	0.000334
오후 9:11:29.782 	-0.000037	-0.000034	0.000334
오후 9:11:29.784 	-0.000018	-0.000005	0.000333
오후 9:11:29.784 	0.000000	0.000012	0.000333
오후 9:11:29.785 	-0.000008	-0.000004	0.000333
오후 9:11:29.785 	-0.000031	-0.000021	0.000332
오후 9:11:29.787 	-0.000020	-0.000028	0.000332
오후 9:11:29.787 	-0.000009	-0.000008	0.000332
오후 9:11:29.800 	-0.000000	0.000000	0.000332
오후 9:11:29.800 	-0.000018	-0.000029	0.000332
오후 9:11:29.802 	-0.000023	-0.000036	0.000332
오후 9:11:29.802 	0.000002	-0.000004	0.000332
오후 9:11:29.804 	0.000003	-0.000012	0.000333
오후 9:11:29.804 	-0.000026	-0.000039	0.000333
오후 9:11:29.806 	-0.000030	-0.000042	0.000333
오후 9:11:29.806 	-0.000015	-0.000022	0.000334
오후 9:11:29.807 	-0.000003	-0.000017	0.000334
오후 9:11:29.807 	-0.000002	-0.000041	0.000335
오후 9:11:29.828 	-0.000017	-0.000034	0.000336
오후 9:11:29.828 	-0.000012	-0.000028	0.000336
오후 9:11:29.829 	0.000014	0.000002	0.000337
오후 9:11:29.829 	0.000020	-0.000004	0.000338
오후 9:11:29.830 	-0.000010	-0.000030	0.000338
오후 9:11:29.830 	-0.000014	-0.000032	0.000339
오후 9:11:29.831 	-0.000003	0.000001	0.000339
오후 9:11:29.831 	0.000008	-0.000008	0.000340
오후 9:11:29.832 	-0.000025	-0.000037	0.000341
오후 9:11:29.832 	-0.000020	-0.000045	0.000342
오후 9:11:29.834 	0.000006	-0.000014	0.000342
오후 9:11:29.834 	0.000014	0.000009	0.000343
오후 9:11:29.846 	-0.000004	-0.000008	0.000344
오후 9:11:29.846 	-0.000024	-0.000028	0.000344
오후 9:11:29.852 	-0.000020	-0.000005	0.000345
오후 9:11:29.852 	0.000010	0.000015	0.000346
오후 9:11:29.853 	0.000009	-0.000014	0.000346
오후 9:11:29.853 	-0.000010	-0.000028	0.000347
오후 9:11:29.854 	-0.000008	-0.000025	0.000347
오후 9:11:29.854 	0.000007	0.000007	0.000348
오후 9:11:29.855 	-0.000005	0.000000	0.000349
오후 9:11:29.855 	-0.000036	-0.000020	0.000349
오후 9:11:29.859 	-0.000023	-0.000013	0.000350
오후 9:11:29.859 	-0.000002	0.000006	0.000350
오후 9:11:29.865 	0.000005	0.000003	0.000351
오후 9:11:29.865 	-0.000014	-0.000026	0.000351
오후 9:11:29.867 	-0.000006	-0.000009	0.000352
오후 9:11:29.867 	0.000010	0.000016	0.000353
오후 9:11:29.869 	0.000013	0.000028	0.000354
오후 9:11:29.869 	-0.000008	-0.000017	0.000354
오후 9:11:29.878 	-0.000008	-0.000008	0.000354
오후 9:11:29.878 	0.000010	-0.000004	0.000355
오후 9:11:29.896 	0.000038	0.000013	0.000356
오후 9:11:29.896 	0.000015	-0.000019	0.000356
오후 9:11:29.898 	-0.000001	-0.000017	0.000357
오후 9:11:29.898 	-0.000003	-0.000019	0.000358
오후 9:11:29.899 	0.000019	0.000019	0.000358
오후 9:11:29.899 	0.000034	0.000014	0.000359
오후 9:11:29.904 	-0.000011	-0.000016	0.000359
오후 9:11:29.904 	-0.000008	-0.000012	0.000360
오후 9:11:29.915 	0.000013	0.000008	0.000361
오후 9:11:29.915 	0.000023	0.000014	0.000362
오후 9:11:29.919 	0.000002	-0.000024	0.000363
오후 9:11:29.919 	-0.000011	-0.000030	0.000364
오후 9:11:29.922 	-0.000008	0.000007	0.000366
오후 9:11:29.922 	0.000001	0.000017	0.000367
오후 9:11:29.934 	0.000004	-0.000009	0.000370
오후 9:11:29.934 	0.000014	-0.000007	0.000372
오후 9:11:29.939 	0.000018	0.000014	0.000376
오후 9:11:29.939 	0.000030	0.000029	0.000380
오후 9:11:29.943 	0.000014	-0.000001	0.000384
오후 9:11:29.943 	-0.000013	-0.000018	0.000390
오후 9:11:29.953 	-0.000020	-0.000018	0.000396
오후 9:11:29.953 	0.000013	0.000022	0.000402
오후 9:11:29.961 	0.000025	0.000013	0.000409
오후 9:11:29.961 	-0.000018	-0.000039	0.000417
오후 9:11:29.965 	-0.000008	-0.000020	0.000425
오후 9:11:29.965 	-0.000007	-0.000018	0.000434
오후 9:11:29.972 	-0.000010	-0.000015	0.000443
오후 9:11:29.972 	-0.000021	-0.000042	0.000451
오후 9:11:29.985 	-0.000004	-0.000033	0.000460
오후 9:11:29.985 	-0.000005	-0.000009	0.000468
오후 9:11:29.991 	0.000013	0.000004	0.000477
