Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:11:29.249 	31.729833	33.219378	12.079963	9.394767	7.964871	31.513688	34.115315	11.270911	9.646055	8.271076	80.831197	77.575110	36.413312	18.373198	58.381430	23.245371
오후 9:11:30.277 	31.941240	33.083082	12.130930	9.325756	7.961552	31.998195	34.030639	11.253662	9.453781	8.170969	80.684221	76.621876	36.156627	18.758973	59.159077	22.081950
오후 9:11:31.279 	31.903850	33.286303	12.094055	9.164983	7.979031	31.818086	34.357849	11.166405	9.361688	8.090279	80.564858	76.078687	36.156627	18.760632	59.292951	21.946417
오후 9:11:32.358 	32.037869	33.290455	12.097214	9.154718	7.859595	32.030991	34.412676	11.195573	9.260348	7.923785	80.200719	74.076892	36.102934	18.760939	59.290367	21.948695
오후 9:11:33.781 	32.259193	33.126902	12.091770	9.193591	7.805058	31.784305	34.585748	11.272348	9.225950	7.936601	80.059568	72.924446	35.893785	18.658772	56.942117	24.399110
오후 9:11:34.584 	30.042235	34.555291	12.272108	9.512296	8.082600	31.800498	34.722627	10.971239	9.321034	8.010415	79.989179	72.944430	36.116834	18.660168	57.013923	24.325910
오후 9:11:35.408 	29.476119	33.597581	12.583598	10.023345	8.627049	30.899179	33.910244	11.687400	9.686921	8.535571	79.870340	72.752295	35.893785	18.594528	57.123564	24.281908
오후 9:11:36.325 	29.448144	33.620924	12.869678	10.035233	8.409117	31.104751	34.012258	11.898415	9.514995	8.298322	80.000000	73.498387	35.795764	17.382717	56.479257	26.138026
오후 9:11:37.396 	30.208580	34.706008	12.200165	9.399058	7.844750	31.568592	35.494038	11.227784	8.815454	7.719433	79.962139	73.104467	35.728394	17.552620	57.789111	24.658269
오후 9:11:38.290 	30.845490	35.089795	11.909978	9.271797	7.143752	32.446942	35.796566	10.742119	8.575945	7.164249	79.672400	70.869655	35.999720	17.237849	56.314877	26.447274
오후 9:11:39.303 	30.338654	34.993934	12.065910	9.469493	7.369470	32.345090	35.818329	10.773970	8.604818	7.241418	79.691366	69.977546	35.729343	18.380282	55.997347	25.622371
오후 9:11:40.267 	30.395485	33.757371	12.318158	9.981040	7.644659	32.254120	34.713681	11.046586	9.049120	7.498714	79.559068	68.950266	35.618244	18.639044	55.735990	25.624966
오후 9:11:41.329 	31.040580	33.518239	12.145964	9.887943	7.727775	32.817891	34.529198	10.882444	8.961006	7.558178	79.207072	65.880411	35.750865	20.922738	54.998683	24.078579
오후 9:11:42.371 	31.237097	33.269996	12.331858	9.878084	7.721199	32.845586	34.573046	10.936338	8.895719	7.519276	78.831425	65.621488	36.800368	22.472124	56.585895	20.941981
오후 9:11:43.325 	31.605946	33.329371	12.166033	9.750660	7.603737	33.181484	34.790838	10.693287	8.755073	7.379826	78.440111	65.785750	36.536875	22.908644	55.367486	21.723869
오후 9:11:44.318 	31.531742	33.419678	12.171597	9.715633	7.576983	33.147451	34.792723	10.702907	8.739791	7.379143	78.253275	66.869806	36.536875	23.734231	54.357463	21.908306
오후 9:11:45.327 	28.402253	31.965341	12.846821	11.515902	8.978101	31.500436	33.564941	10.950685	9.876785	8.338597	78.175689	66.784942	37.843330	24.680000	52.094330	23.225670
오후 9:11:46.292 	27.404827	31.728941	13.754102	11.382243	9.031966	30.572958	33.232031	12.147297	9.695675	8.330219	78.089504	66.832333	38.477389	25.954552	52.510869	21.534579
오후 9:11:47.400 	27.034635	32.808935	13.074881	11.417976	9.042290	30.479791	34.081897	11.056294	9.947264	8.572625	77.938715	65.892600	38.401584	26.532543	52.279332	21.188125
오후 9:11:48.385 	26.536035	32.957548	13.056074	11.480060	9.134133	30.648105	34.052807	10.895249	9.916517	8.519319	77.632506	62.742706	39.049477	26.526026	51.926637	21.547337
오후 9:11:49.338 	26.947019	32.770117	13.034058	11.326095	8.998877	31.451649	34.019175	10.688913	9.775971	8.203820	77.769595	63.445711	39.041935	25.977517	46.406160	27.616323
오후 9:11:50.365 	27.438713	33.322663	12.709960	11.150090	8.591250	31.816490	34.829049	10.424694	9.575818	7.510886	77.777334	64.263827	38.882397	26.668663	44.909010	28.422326
오후 9:11:51.343 	26.430623	33.926215	12.804073	11.329170	8.739460	29.846003	36.430550	10.696440	9.870682	7.557596	77.855142	64.353429	38.121478	28.720020	44.766252	26.513728
오후 9:11:52.387 	24.700815	34.158067	12.964263	11.880729	9.082958	29.704428	35.933883	10.672298	10.094800	7.787775	77.764482	63.556331	37.962514	30.036137	44.885828	25.078035
오후 9:11:53.394 	23.587965	34.121566	13.371699	12.484540	9.304312	28.177494	36.185513	11.158321	10.405129	8.018005	77.575758	62.137621	37.592118	30.168423	44.802535	25.029042
오후 9:11:54.324 	23.622273	34.269292	13.291369	12.343955	9.349579	28.357043	36.360083	10.925701	10.335504	8.105399	77.508798	61.942133	36.729830	26.908134	50.194716	22.897151
오후 9:11:55.324 	23.721420	34.384861	13.171930	12.217546	9.324380	28.461207	36.518175	10.861889	10.278340	8.067847	77.513121	62.720788	37.801653	20.398088	56.085737	23.516175
오후 9:11:56.391 	23.823292	34.459535	13.140332	12.195422	9.229266	28.572106	36.693357	10.921444	10.161607	7.892079	77.385482	63.287659	37.423968	15.993383	59.482784	24.523833
오후 9:11:57.448 	24.578673	32.839443	13.530627	12.589945	9.610211	30.510847	33.616396	11.269165	10.912092	8.481444	77.441953	63.001092	38.368841	14.137276	60.417807	25.444917
오후 9:11:58.445 	24.584829	32.952860	13.509326	12.480630	9.602507	30.528991	33.797768	11.252002	10.810216	8.413434	77.488218	62.645010	38.411238	11.021094	58.432058	30.546848
오후 9:11:59.449 	24.571282	33.067686	13.559013	12.417062	9.562315	30.634341	33.914546	11.267898	10.643427	8.317355	77.544839	62.130297	38.411238	8.373505	57.590309	34.036186
오후 9:12:00.364 	24.609635	33.079270	13.518463	12.405971	9.551581	30.747633	33.968644	11.299521	10.596276	8.210177	77.529388	62.193150	38.003885	5.745041	55.010735	39.244224
오후 9:12:01.346 	24.698355	33.167520	13.483953	12.341219	9.519738	30.779127	34.047604	11.298234	10.554449	8.119285	77.642833	61.467342	38.411238	5.504497	57.375696	37.119807
오후 9:12:02.422 	24.742443	33.181888	13.463290	12.280542	9.542410	30.767041	34.035508	11.336922	10.500012	8.082904	77.741076	60.465800	38.538147	5.028811	60.538049	34.433141
오후 9:12:03.427 	25.180951	33.788408	13.279598	11.974400	9.119654	31.470809	34.253714	11.141201	10.110907	7.687452	77.818812	59.600610	37.963713	5.028652	60.538867	34.432481
오후 9:12:04.403 	25.704788	34.157668	12.830925	11.764488	8.933876	32.009159	34.568963	10.696953	9.974217	7.419869	77.777334	59.969927	38.132150	5.569333	60.306998	34.123669
오후 9:12:05.398 	26.070009	34.175400	12.678459	11.625081	8.871198	32.541942	34.282063	10.662705	9.758044	7.324077	77.769595	59.651982	38.012724	5.425828	60.433796	34.140375
오후 9:12:06.369 	26.327312	33.741868	12.446176	11.885010	8.873705	33.108494	33.659448	10.524038	9.919629	7.302113	77.922702	58.900126	38.198784	5.890979	60.209849	33.899172
오후 9:12:07.492 	26.647977	33.982124	12.522372	11.649177	8.577241	33.390107	33.996062	10.523360	9.606525	6.992158	77.933106	58.769451	37.597529	6.869690	58.924831	34.205479
오후 9:12:08.422 	25.937022	35.951023	12.435425	10.896922	8.100535	32.641435	36.096749	10.288398	8.921483	6.568468	77.865528	59.142804	37.448424	9.167581	57.770475	33.061945
오후 9:12:09.377 	27.799746	35.588512	11.983110	10.446656	7.674126	34.574192	35.301594	10.047666	8.410122	6.235640	77.892518	58.614439	37.282103	10.094071	57.025314	32.880615
오후 9:12:10.400 	27.994124	35.851760	11.839904	10.280898	7.551042	34.913447	35.668005	10.028109	8.083850	5.953341	78.110405	57.291799	37.421250	13.023016	53.531881	33.445103
오후 9:12:11.451 	28.093894	36.095787	11.913445	10.057837	7.344436	35.139940	36.076161	9.994370	7.842687	5.664289	78.220316	55.857434	37.246867	14.990778	49.394023	35.615199
오후 9:12:12.522 	28.326680	36.273268	11.832433	9.863120	7.161253	35.319364	36.410997	10.032192	7.535432	5.468441	78.230800	55.721448	37.467434	21.967848	43.292917	34.739235
오후 9:12:13.439 	28.235070	36.774886	11.924866	9.863759	6.736056	34.985891	37.051692	10.051629	7.413121	5.161484	78.232570	55.121233	37.550400	24.197788	43.119280	32.682932
오후 9:12:14.473 	28.394920	36.928985	11.723563	9.808477	6.676652	35.387641	37.005836	9.927361	7.336073	5.044416	78.367347	54.947543	37.550400	24.475793	43.304403	32.219804
오후 9:12:15.503 	28.105833	37.099786	11.691607	9.797629	6.707791	35.295751	36.765982	9.989275	7.337816	5.005217	78.456886	55.399380	37.537958	24.824238	43.084786	32.090976
오후 9:12:16.561 	28.248120	37.143621	11.684423	9.663387	6.554963	35.572753	36.754208	9.833071	7.230910	4.831119	78.554729	55.361015	37.357421	24.850165	43.673661	31.476174
오후 9:12:17.628 	28.569527	37.601056	11.680295	9.320262	6.285863	35.965823	37.299024	9.634833	6.891779	4.564543	78.549512	55.371753	37.582467	25.316619	42.358072	32.325309
오후 9:12:18.597 	28.010584	38.168385	12.002491	9.161070	6.227166	35.728109	37.840803	9.681096	6.622014	4.424051	78.544295	55.367938	37.582467	25.881055	41.473425	32.645520
오후 9:12:19.578 	28.525674	37.711736	12.063767	9.386190	6.270827	36.302822	37.248287	9.806636	6.692040	4.416112	78.486960	55.449726	37.074191	25.595728	40.890762	33.513510
오후 9:12:20.538 	28.512845	37.661367	12.350907	9.411688	6.270489	35.853651	37.864468	9.869167	6.751801	4.358804	78.284353	54.959737	37.139120	24.394782	36.753408	38.851810
오후 9:12:21.573 	28.514795	38.118396	12.143628	8.651380	6.062997	33.833043	40.177896	9.468350	6.100012	4.148654	77.938310	54.924202	37.222279	22.590822	37.590412	39.818766
오후 9:12:22.561 	27.593290	39.586710	12.317727	8.484980	5.939732	32.352311	42.099842	9.896867	5.774136	4.043726	77.849950	54.754497	38.193458	21.259389	43.796985	34.943625
오후 9:12:23.609 	28.615886	39.226019	11.748570	8.536881	5.832778	33.446614	41.726703	9.323020	5.830456	3.846279	77.846377	54.238715	38.252288	20.394113	48.107312	31.498575
오후 9:12:24.596 	28.263786	39.415032	11.895261	8.622742	5.792501	33.047850	41.952694	9.408543	5.870125	3.826749	77.782516	54.342190	38.495891	20.216909	48.289251	31.493840
오후 9:12:25.595 	28.457684	39.288274	11.946300	8.596176	5.721720	33.536326	41.830461	9.289003	5.784688	3.787429	77.887389	54.629969	38.479928	20.636610	47.222780	32.140610
오후 9:12:26.571 	27.883797	38.434518	12.226353	9.095714	5.847922	32.542505	39.944601	10.378070	6.293045	3.974430	77.877132	54.613643	38.729564	19.600331	47.290150	33.109519
오후 9:12:27.512 	24.981241	38.241636	13.391307	9.867374	6.540379	29.279511	42.300328	10.497804	6.566740	4.471282	77.642833	54.285682	39.132749	17.106683	45.713608	37.179709
오후 9:12:28.490 	25.161254	38.036519	13.342312	9.923978	6.526580	29.459423	42.115286	10.470574	6.649661	4.352105	77.421409	54.348199	39.257327	12.770604	52.405185	34.824211
오후 9:12:29.505 	25.603926	37.282168	13.450204	10.450662	6.925621	28.841137	41.875907	10.649681	7.212077	4.658835	77.232502	53.970016	39.872307	9.944475	59.816140	30.239384
오후 9:12:30.498 	25.539200	37.589063	13.420663	10.364525	6.898945	28.929572	42.006194	10.583925	7.149541	4.683678	77.160420	53.572470	39.628709	9.124355	62.668755	28.206891
오후 9:12:31.460 	25.710191	37.636485	13.373601	10.307072	6.826379	28.994233	42.124672	10.529487	7.124945	4.609916	77.104359	53.712725	39.088533	8.853024	62.059201	29.087775
오후 9:12:32.534 	25.784904	37.557334	13.360248	10.252469	6.805509	29.126010	42.116464	10.609364	7.039832	4.556618	76.892271	53.443562	38.930308	8.052617	59.596869	32.350514
오후 9:12:33.494 	26.063101	37.678886	13.222250	10.150958	6.673085	29.559452	41.975339	10.629489	6.977409	4.406304	76.967100	53.313603	39.715890	7.838382	59.200334	32.961284
오후 9:12:34.497 	26.238399	37.773517	12.916068	10.108989	6.652264	29.735795	41.998612	10.541851	6.855865	4.442075	76.992481	53.352378	38.979078	7.862443	59.277250	32.860308
오후 9:12:35.497 	26.626037	37.291568	13.141007	10.199179	6.552368	30.495187	41.587226	10.430850	6.910009	4.265088	76.784643	51.488705	38.731175	7.793987	59.200831	33.005182
