Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 3:31:04.294 	35.805687	42.639899	7.391157	5.505373	5.044663	35.595361	41.823073	7.223517	6.305784	5.794179	76.636509	85.364947	45.456889	15.409550	67.362147	17.228303
오후 3:31:05.326 	35.873706	42.722255	7.368813	5.462328	4.946456	35.656001	42.014482	7.194837	6.197311	5.727092	76.709160	84.932256	45.670283	15.387891	67.516708	17.095400
오후 3:31:06.325 	33.767782	43.270613	7.809440	5.854967	5.343701	34.024511	42.243917	7.602454	6.612539	6.058299	76.917941	84.685417	45.572414	14.153123	69.307803	16.539073
오후 3:31:07.275 	34.373238	42.906713	7.603261	5.879059	5.369598	34.367385	42.178441	7.343435	6.665134	6.041204	77.015644	84.827171	45.311499	13.835900	66.942734	19.221367
오후 3:31:08.281 	34.621590	42.762937	7.551126	5.850075	5.371270	34.692663	41.929483	7.311300	6.621065	6.068814	77.098113	84.333086	45.955401	14.558296	63.707316	21.734388
오후 3:31:09.293 	33.808841	43.323723	7.658183	5.869772	5.347191	33.676595	42.576216	7.547235	6.664589	6.093217	77.089084	83.510046	44.756830	14.336563	63.157576	22.505861
오후 3:31:10.337 	33.881141	43.276409	7.594840	5.840942	5.366078	33.771653	42.499215	7.368527	6.763658	6.098708	77.124736	83.539100	44.920177	13.678560	62.867530	23.453909
오후 3:31:11.345 	32.680752	43.709110	7.981308	6.016465	5.493972	32.745928	42.667384	7.919610	6.907311	6.227186	77.268764	83.356051	45.520351	13.121693	63.872885	23.005422
오후 3:31:13.111 	32.539493	44.634064	7.594119	5.729389	5.210694	33.326698	43.452052	7.183447	6.504995	5.805227	77.356970	82.602979	45.484097	13.774246	62.998012	23.227743
오후 3:31:13.615 	31.624783	44.186483	8.536061	6.119991	5.247926	32.987544	42.427183	7.962972	6.856149	5.868622	77.513944	81.724507	46.181942	13.879421	62.961457	23.159122
오후 3:31:14.444 	31.666306	44.925058	7.928433	5.950590	5.405564	32.907774	43.228423	7.450899	6.728416	6.010821	77.617021	81.075983	46.550526	15.179032	62.543833	22.277134
