Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:39:08.874 	35.728751	34.499146	11.435641	8.336486	4.159366	35.594081	30.292296	11.023656	9.947354	6.674387	116.401161	28.480677	41.329941	0.390200	30.924280	68.685520
오후 8:39:09.871 	35.748610	34.738009	11.359138	8.257812	4.061173	35.836319	30.551243	11.098940	9.847183	6.316903	116.475096	28.370734	41.050240	0.366841	31.711073	67.922086
오후 8:39:10.832 	35.560593	35.945902	11.000435	7.911470	3.891057	35.827583	31.611127	10.802576	9.497080	6.000760	116.773367	27.854338	41.428120	0.283101	32.530189	67.186710
오후 8:39:11.894 	36.375342	34.494990	11.236570	8.182010	4.003529	36.592351	30.139913	11.139907	9.803638	6.107573	116.848174	27.923938	41.586508	0.148710	34.564163	65.287127
오후 8:39:12.910 	36.529970	34.607651	11.327026	8.175091	3.974010	36.603441	30.196582	11.401230	9.827191	6.053915	117.063779	27.802331	41.058148	0.133494	34.430778	65.435727
오후 8:39:14.142 	37.449520	33.447960	11.132262	8.286851	4.048130	37.286315	29.729620	10.901109	9.886733	6.127628	117.044999	27.788068	40.516891	0.086254	34.237705	65.676042
오후 8:39:14.922 	37.870506	33.338401	11.076618	8.067018	3.952985	37.949202	29.341857	10.854869	9.646633	5.935507	117.204819	27.095475	38.711857	0.219268	32.342718	67.438014
오후 8:39:15.838 	38.235879	33.674075	10.969314	7.702336	3.846378	38.166753	29.741094	10.658476	9.463076	5.845476	117.335880	27.117118	38.557592	0.411799	31.862624	67.725578
오후 8:39:16.895 	38.129289	33.820927	10.971629	7.719577	3.820962	37.874442	29.962403	10.763406	9.484604	5.850023	117.471516	27.220134	38.359492	0.868388	30.745045	68.386567
오후 8:39:17.880 	38.115055	34.479425	10.789175	7.519556	3.716104	37.670724	30.878628	10.562992	9.267019	5.692086	117.609188	27.716530	37.576436	0.788310	30.519626	68.692064
오후 8:39:18.859 	38.543772	34.024951	10.814629	7.467832	3.722107	38.215225	30.313008	10.519344	9.259745	5.719920	117.793255	28.021335	37.810144	1.081396	31.196168	67.722436
오후 8:39:19.894 	37.934704	35.083321	10.669896	7.336203	3.637103	37.657159	31.530179	10.380355	9.046308	5.573580	118.014896	28.414975	37.849647	1.391354	31.330584	67.278062
오후 8:39:20.867 	38.027444	34.978683	10.740675	7.347319	3.646230	37.768626	31.356266	10.492055	9.090938	5.597938	117.968652	28.418336	37.712246	1.388983	30.785120	67.825897
오후 8:39:21.893 	38.459335	34.802261	10.529433	7.365395	3.645629	37.863192	31.455566	10.330061	9.092447	5.577041	118.098227	28.105844	37.435932	1.344919	30.198546	68.456535
오후 8:39:22.889 	38.511138	34.744968	10.478633	7.318841	3.632705	37.830956	31.555719	10.220151	9.029680	5.562988	118.190955	27.643665	36.879225	1.331148	30.314030	68.354822
오후 8:39:23.890 	38.541354	35.187926	10.323052	7.110821	3.559337	37.851440	32.218924	9.963928	8.780324	5.435676	118.273314	26.928600	36.946432	1.332151	30.285278	68.382571
오후 8:39:24.912 	38.653781	34.477268	10.619934	7.358940	3.644789	38.017173	31.379646	10.239306	9.046707	5.575143	118.218145	26.932104	36.514047	1.815251	31.031736	67.153013
오후 8:39:25.986 	38.360646	33.603896	11.201042	7.734754	3.784806	37.677745	30.444699	10.720472	9.471810	5.804985	118.254919	26.744346	36.394454	0.204016	36.462158	63.333826
오후 8:39:26.936 	37.314972	34.872902	11.085315	7.557062	3.688038	36.639896	31.702007	10.716601	9.326097	5.686203	118.488665	26.890620	37.087644	0.224690	36.391429	63.383881
오후 8:39:27.889 	37.741679	33.751759	11.421050	7.697777	3.779763	36.994782	30.529945	11.039406	9.574934	5.823566	118.660944	26.494782	37.131396	0.475592	37.463279	62.061129
오후 8:39:28.987 	38.757391	34.235270	10.654197	7.360354	3.637310	37.725800	31.001479	10.522003	9.268281	5.647787	118.694212	26.575506	37.557593	0.686106	36.671385	62.642508
오후 8:39:29.955 	38.617456	34.167584	10.747980	7.356523	3.675712	37.710856	30.869375	10.533690	9.274382	5.688505	118.778505	26.621401	37.389681	1.746815	31.943084	66.310101
오후 8:39:31.056 	37.942146	33.758560	11.049989	7.795670	3.821125	36.623261	30.732623	10.876910	9.710558	5.859400	118.837137	26.595208	36.851489	1.499980	31.424004	67.076016
