Time	EEG_Fp1	EEG_Fp2	PPG
오후 4:51:06.689 	0.000008	-0.000001	0.000937
오후 4:51:06.689 	-0.000000	-0.000009	0.000939
오후 4:51:06.690 	0.000051	0.000035	0.000942
오후 4:51:06.690 	0.000048	0.000043	0.000944
오후 4:51:06.695 	0.000036	0.000029	0.000946
오후 4:51:06.695 	0.000023	0.000009	0.000949
오후 4:51:06.725 	0.000034	0.000028	0.000951
오후 4:51:06.725 	0.000044	0.000034	0.000953
오후 4:51:06.726 	0.000017	0.000011	0.000954
오후 4:51:06.726 	0.000012	0.000005	0.000956
오후 4:51:06.727 	0.000020	0.000011	0.000958
오후 4:51:06.727 	0.000039	0.000034	0.000958
오후 4:51:06.728 	0.000038	0.000033	0.000960
오후 4:51:06.728 	0.000022	0.000016	0.000960
오후 4:51:06.756 	0.000016	0.000011	0.000961
오후 4:51:06.756 	0.000042	0.000033	0.000961
오후 4:51:06.757 	0.000030	0.000032	0.000962
오후 4:51:06.757 	0.000028	0.000014	0.000962
오후 4:51:06.758 	0.000011	-0.000008	0.000962
오후 4:51:06.758 	0.000027	0.000011	0.000961
오후 4:51:06.811 	0.000026	0.000030	0.000961
오후 4:51:06.811 	0.000022	0.000022	0.000960
오후 4:51:06.812 	0.000005	0.000001	0.000960
오후 4:51:06.812 	0.000027	0.000013	0.000959
오후 4:51:06.813 	0.000029	0.000022	0.000958
오후 4:51:06.813 	0.000021	0.000013	0.000958
오후 4:51:06.816 	0.000007	0.000001	0.000957
오후 4:51:06.816 	0.000015	0.000004	0.000956
오후 4:51:06.818 	0.000028	0.000005	0.000955
오후 4:51:06.818 	0.000032	0.000017	0.000954
오후 4:51:06.820 	0.000021	0.000013	0.000953
오후 4:51:06.820 	0.000013	0.000010	0.000952
오후 4:51:06.847 	0.000027	0.000021	0.000950
오후 4:51:06.847 	0.000022	0.000010	0.000950
오후 4:51:06.850 	0.000003	0.000000	0.000949
오후 4:51:06.850 	-0.000009	-0.000011	0.000947
오후 4:51:06.852 	0.000029	0.000013	0.000946
오후 4:51:06.852 	0.000024	0.000010	0.000945
오후 4:51:06.853 	0.000025	0.000014	0.000944
오후 4:51:06.853 	0.000012	-0.000003	0.000943
오후 4:51:06.854 	0.000023	0.000013	0.000942
오후 4:51:06.854 	0.000035	0.000025	0.000941
오후 4:51:06.855 	0.000032	0.000023	0.000940
