Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:36:12.706 	30.242774	41.763708	10.991722	5.747830	4.226326	30.180163	45.608094	10.134893	4.812071	3.849524	85.070769	78.200647	72.847897	16.133816	70.050767	13.815417
오후 9:36:13.677 	30.142520	41.224218	11.088213	5.881715	4.314802	29.833020	45.318574	10.126411	4.870496	3.893798	84.955752	78.217410	73.295652	15.400695	70.051397	14.547909
오후 9:36:14.735 	30.226842	41.158762	11.086938	5.873025	4.297273	30.051019	45.423134	10.042830	4.807110	3.851749	85.041695	78.011558	72.883235	16.074962	68.060155	15.864883
오후 9:36:15.775 	30.637171	40.984633	11.129900	5.872740	4.272336	30.000051	45.301295	10.034080	4.886472	3.879989	85.032178	78.438955	73.112276	16.163195	67.788157	16.048648
오후 9:36:16.792 	30.173410	41.096265	11.079895	5.879397	4.313431	29.915862	45.319842	9.998601	4.900936	3.866973	85.073387	78.198887	73.290382	16.991329	67.947075	15.061596
오후 9:36:18.224 	30.280765	40.971645	11.058354	5.884727	4.292533	29.896535	45.313027	9.962290	4.912765	3.855286	84.838732	79.513782	73.087075	17.049158	68.680887	14.269955
오후 9:36:18.899 	30.499616	41.149401	11.038809	5.807211	4.200319	29.852840	45.425810	10.007450	4.877280	3.822444	84.733140	81.363303	73.521931	17.193892	68.274604	14.531504
오후 9:36:19.909 	30.625470	41.242444	11.094370	5.766710	4.207561	29.806559	45.518734	10.028091	4.871526	3.810511	84.738984	81.331887	74.130215	17.153892	66.974951	15.871157
오후 9:36:20.876 	31.406601	40.529889	11.198162	5.854255	4.246396	30.412590	45.025891	10.122044	4.921571	3.830556	84.885038	80.261084	73.701684	15.585272	60.476412	23.938316
오후 9:36:21.864 	31.199273	40.545407	11.271752	5.814353	4.280833	30.247381	45.069994	10.165224	4.898771	3.824925	85.268198	77.889141	74.173193	14.707581	60.813670	24.478749
오후 9:36:22.861 	30.959089	40.432365	11.444193	5.881256	4.339829	30.218505	44.930242	10.253167	4.971972	3.870503	85.345187	77.129674	74.346160	14.672152	60.888521	24.439327
오후 9:36:23.806 	31.296727	40.563524	11.128631	5.804085	4.350739	30.384085	45.074734	10.039372	4.909258	3.888734	85.497526	76.277372	65.987015	12.585070	64.601319	22.813611
오후 9:36:24.853 	31.448203	40.501490	11.127807	5.734923	4.352118	30.481424	45.045619	10.052794	4.897594	3.873872	85.228113	72.389569	65.907479	9.792949	66.733941	23.473110
오후 9:36:25.805 	31.336583	40.558849	11.176604	5.799943	4.396138	30.225302	45.160759	10.113632	4.917049	3.922307	85.064953	67.344414	58.370342	8.520381	68.802103	22.677517
오후 9:36:26.798 	31.107273	40.815653	11.180524	5.744721	4.413551	29.939947	45.362994	10.118905	4.913418	3.933398	85.362250	68.774841	58.101391	6.331144	69.085353	24.583503
오후 9:36:27.760 	27.707231	40.469411	12.893573	6.780220	5.211314	27.337074	45.377657	11.267064	5.618026	4.469033	85.501324	69.480709	58.101391	5.619002	69.891654	24.489345
오후 9:36:28.747 	26.827510	40.080566	12.892037	7.052951	5.488444	27.237657	44.610833	11.328677	5.656987	4.616763	85.603413	69.879685	58.095210	4.812722	70.233349	24.953929
오후 9:36:29.777 	26.642590	40.214344	12.890154	7.062646	5.478458	27.005126	44.703188	11.337107	5.693772	4.662915	85.489717	70.202715	59.158480	5.669893	68.530433	25.799674
오후 9:36:30.765 	26.380797	40.338117	12.931950	7.148959	5.501602	26.598252	44.878236	11.403307	5.731920	4.704929	85.431730	71.036805	59.158480	5.882403	67.445569	26.672029
오후 9:36:31.769 	26.554035	40.303761	12.996130	7.092449	5.478805	26.681425	44.893698	11.456441	5.704942	4.707453	85.585747	70.653703	59.488609	6.081948	67.694847	26.223204
오후 9:36:32.694 	26.527352	40.444004	12.982787	6.948343	5.462099	26.701147	44.860668	11.440282	5.696739	4.667097	85.680050	69.493967	58.817931	6.191028	68.096187	25.712785
오후 9:36:33.697 	26.621000	40.323354	12.827185	7.066377	5.537903	26.112768	44.631822	11.508986	5.880047	4.678596	85.571031	69.445123	58.339210	6.178605	67.947992	25.873403
오후 9:36:34.804 	26.960027	38.598339	12.957187	7.446016	5.827888	27.920793	43.226230	10.990209	6.096783	5.027759	85.233952	70.455356	58.979848	6.179623	68.068451	25.751926
오후 9:36:35.750 	27.534727	38.059955	12.707536	7.724819	6.093067	27.757575	43.386649	10.990925	6.203687	5.129404	84.925597	71.729837	59.000864	6.115278	67.940762	25.943960
오후 9:36:36.734 	27.508745	38.063766	12.717038	7.694888	6.083613	27.720888	43.315920	11.000526	6.215427	5.176794	84.610618	73.411362	59.073066	6.018528	63.683739	30.297733
