Time	EEG_Fp1	EEG_Fp2	PPG
오후 9:36:11.896 	0.000048	0.000032	0.000357
오후 9:36:11.896 	0.000034	0.000027	0.000357
오후 9:36:11.898 	0.000050	0.000027	0.000357
오후 9:36:11.898 	0.000038	0.000008	0.000357
오후 9:36:11.900 	0.000039	0.000033	0.000357
오후 9:36:11.900 	0.000031	0.000018	0.000357
오후 9:36:11.911 	0.000018	0.000030	0.000357
오후 9:36:11.911 	0.000019	0.000025	0.000357
오후 9:36:11.917 	0.000034	0.000020	0.000357
오후 9:36:11.917 	0.000031	0.000033	0.000357
오후 9:36:11.929 	0.000034	0.000035	0.000357
오후 9:36:11.929 	0.000039	0.000034	0.000356
오후 9:36:11.932 	0.000015	0.000019	0.000356
오후 9:36:11.932 	0.000046	0.000036	0.000356
오후 9:36:11.947 	0.000025	0.000029	0.000356
오후 9:36:11.947 	0.000044	0.000035	0.000356
오후 9:36:11.957 	0.000025	0.000041	0.000356
오후 9:36:11.957 	0.000026	0.000036	0.000356
오후 9:36:11.966 	0.000022	0.000017	0.000356
오후 9:36:11.966 	0.000006	0.000018	0.000356
오후 9:36:11.967 	0.000025	0.000042	0.000356
오후 9:36:11.967 	0.000047	0.000041	0.000356
오후 9:36:11.974 	0.000033	0.000033	0.000356
오후 9:36:11.974 	0.000021	0.000004	0.000356
오후 9:36:11.985 	0.000023	-0.000009	0.000356
오후 9:36:11.985 	0.000037	0.000034	0.000356
오후 9:36:11.987 	0.000014	0.000019	0.000356
오후 9:36:11.987 	0.000015	0.000010	0.000356
오후 9:36:12.004 	0.000017	0.000003	0.000357
오후 9:36:12.004 	0.000031	-0.000005	0.000357
오후 9:36:12.006 	0.000032	0.000020	0.000357
오후 9:36:12.006 	0.000019	-0.000004	0.000357
오후 9:36:12.012 	0.000022	0.000001	0.000358
오후 9:36:12.012 	0.000001	0.000007	0.000358
오후 9:36:12.022 	0.000016	0.000028	0.000358
오후 9:36:12.022 	0.000012	0.000049	0.000358
오후 9:36:12.026 	0.000009	0.000030	0.000359
오후 9:36:12.026 	0.000006	0.000014	0.000359
오후 9:36:12.041 	0.000004	0.000010	0.000359
오후 9:36:12.041 	-0.000018	0.000004	0.000359
오후 9:36:12.042 	-0.000003	-0.000003	0.000360
오후 9:36:12.042 	-0.000001	-0.000007	0.000360
오후 9:36:12.061 	-0.000002	-0.000001	0.000360
오후 9:36:12.061 	0.000013	0.000015	0.000361
오후 9:36:12.062 	0.000016	0.000021	0.000361
오후 9:36:12.062 	0.000017	0.000016	0.000361
오후 9:36:12.065 	-0.000010	0.000008	0.000362
오후 9:36:12.065 	0.000015	0.000026	0.000362
오후 9:36:12.081 	0.000003	0.000028	0.000362
오후 9:36:12.081 	0.000006	0.000009	0.000362
오후 9:36:12.082 	0.000015	-0.000010	0.000363
오후 9:36:12.082 	0.000004	0.000000	0.000363
오후 9:36:12.089 	0.000008	0.000012	0.000363
오후 9:36:12.089 	-0.000015	-0.000012	0.000363
